Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
1,1,39,384.2765387048964,"(375, 0, 200)","(625, 0, 100)"
2,2,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
3,3,29,366.3547791209172,"(625, 0, 200)","(375, 0, 150)"
4,4,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
5,5,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
6,6,29,366.3547791209172,"(375, 0, 200)","(625, 0, 50)"
7,7,33,373.5234829545089,"(125, 0, 200)","(375, 0, 0)"
8,8,19,348.433019536938,"(125, 0, 200)","(125, 0, 50)"
9,9,25,359.18607528732554,"(625, 0, 200)","(125, 0, 150)"
10,10,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
11,11,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
12,12,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
13,13,19,348.433019536938,"(375, 0, 50)","(375, 0, 200)"
14,14,51,405.7826502056714,"(125, 0, 200)","(625, 0, 150)"
