Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
1,1,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
2,2,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
3,3,47,398.61394637207974,"(625, 0, 200)","(125, 0, 0)"
4,4,19,348.433019536938,"(625, 0, 200)","(625, 0, 50)"
5,5,51,405.7826502056714,"(125, 0, 200)","(375, 0, 50)"
6,6,43,391.44524253848806,"(125, 0, 200)","(625, 0, 0)"
7,7,31,369.939131037713,"(375, 0, 200)","(125, 0, 50)"
8,8,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
9,9,39,384.2765387048964,"(375, 0, 200)","(625, 0, 150)"
