Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,25,359.18607528732554,"(125, 0, 200)","(375, 0, 150)"
1,1,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
2,2,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
3,3,21,352.01737145373386,"(625, 0, 200)","(625, 0, 0)"
4,4,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
5,5,45,395.0295944552839,"(625, 0, 200)","(125, 0, 0)"
6,6,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
7,7,35,377.1078348713047,"(125, 0, 200)","(125, 0, 50)"
8,8,31,369.939131037713,"(375, 0, 200)","(375, 0, 50)"
9,9,27,362.77042720412135,"(375, 0, 200)","(625, 0, 100)"
10,10,35,377.1078348713047,"(125, 0, 150)","(625, 0, 200)"
11,11,33,373.5234829545089,"(125, 0, 200)","(125, 0, 150)"
12,12,21,352.01737145373386,"(375, 0, 0)","(125, 0, 200)"
13,13,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
14,14,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
15,15,21,352.01737145373386,"(375, 0, 200)","(625, 0, 0)"
16,16,31,369.939131037713,"(125, 0, 200)","(375, 0, 0)"
17,17,15,341.2643157033463,"(625, 0, 200)","(625, 0, 150)"
18,18,35,377.1078348713047,"(375, 0, 200)","(125, 0, 0)"
19,19,41,387.86089062169225,"(375, 0, 200)","(625, 0, 150)"
20,20,31,369.939131037713,"(375, 0, 200)","(125, 0, 50)"
21,21,43,391.44524253848806,"(625, 0, 200)","(375, 0, 50)"
22,22,35,377.1078348713047,"(375, 0, 200)","(625, 0, 0)"
23,23,31,369.939131037713,"(125, 0, 200)","(125, 0, 100)"
24,24,57,416.53570595605896,"(125, 0, 200)","(625, 0, 50)"
25,25,51,405.7826502056714,"(125, 0, 200)","(625, 0, 150)"
26,26,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
27,27,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
28,28,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
29,29,43,391.44524253848806,"(625, 0, 200)","(125, 0, 100)"
