Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
1,1,35,377.1078348713047,"(375, 0, 200)","(375, 0, 0)"
2,2,15,341.2643157033463,"(625, 0, 150)","(625, 0, 200)"
3,3,39,384.2765387048964,"(125, 0, 200)","(375, 0, 100)"
4,4,21,352.01737145373386,"(625, 0, 0)","(625, 0, 200)"
5,5,15,341.2643157033463,"(375, 0, 150)","(375, 0, 200)"
6,6,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
7,7,45,395.0295944552839,"(125, 0, 200)","(625, 0, 0)"
8,8,31,369.939131037713,"(625, 0, 200)","(125, 0, 0)"
9,9,21,352.01737145373386,"(375, 0, 200)","(625, 0, 0)"
10,10,31,369.939131037713,"(125, 0, 200)","(125, 0, 150)"
11,11,33,373.5234829545089,"(625, 0, 200)","(625, 0, 50)"
12,12,29,366.3547791209172,"(125, 0, 200)","(375, 0, 50)"
13,13,33,373.5234829545089,"(375, 0, 200)","(125, 0, 50)"
14,14,21,352.01737145373386,"(375, 0, 0)","(375, 0, 200)"
15,15,37,380.69218678810057,"(125, 0, 200)","(125, 0, 0)"
16,16,29,366.3547791209172,"(125, 0, 200)","(125, 0, 100)"
17,17,33,373.5234829545089,"(125, 0, 200)","(125, 0, 100)"
18,18,51,405.7826502056714,"(125, 0, 200)","(625, 0, 100)"
19,19,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
20,20,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
21,21,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
22,22,37,380.69218678810057,"(625, 0, 150)","(125, 0, 200)"
23,23,21,352.01737145373386,"(375, 0, 200)","(375, 0, 0)"
24,24,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
25,25,19,348.433019536938,"(125, 0, 200)","(125, 0, 50)"
26,26,39,384.2765387048964,"(625, 0, 200)","(125, 0, 150)"
27,27,31,369.939131037713,"(375, 0, 200)","(125, 0, 100)"
28,28,25,359.18607528732554,"(625, 0, 200)","(125, 0, 150)"
29,29,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
