Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,41,387.86089062169225,"(625, 0, 200)","(125, 0, 100)"
1,1,35,377.1078348713047,"(125, 0, 150)","(625, 0, 200)"
2,2,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
3,3,25,359.18607528732554,"(625, 0, 150)","(125, 0, 200)"
4,4,37,380.69218678810057,"(375, 0, 200)","(625, 0, 0)"
5,5,19,348.433019536938,"(375, 0, 50)","(125, 0, 200)"
6,6,31,369.939131037713,"(375, 0, 200)","(375, 0, 100)"
7,7,39,384.2765387048964,"(125, 0, 200)","(125, 0, 0)"
8,8,35,377.1078348713047,"(125, 0, 200)","(625, 0, 150)"
9,9,17,344.8486676201422,"(375, 0, 200)","(375, 0, 100)"
10,10,43,391.44524253848806,"(125, 0, 50)","(625, 0, 200)"
11,11,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
12,12,57,416.53570595605896,"(125, 0, 200)","(625, 0, 50)"
13,13,25,359.18607528732554,"(625, 0, 200)","(125, 0, 150)"
14,14,41,387.86089062169225,"(625, 0, 200)","(125, 0, 100)"
15,15,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
16,16,45,395.0295944552839,"(625, 0, 200)","(125, 0, 0)"
17,17,19,348.433019536938,"(375, 0, 50)","(375, 0, 200)"
18,18,33,373.5234829545089,"(375, 0, 200)","(125, 0, 50)"
19,19,45,395.0295944552839,"(125, 0, 200)","(375, 0, 0)"
20,20,17,344.8486676201422,"(375, 0, 100)","(375, 0, 200)"
21,21,35,377.1078348713047,"(125, 0, 200)","(125, 0, 50)"
22,22,33,373.5234829545089,"(375, 0, 200)","(625, 0, 0)"
23,23,43,391.44524253848806,"(125, 0, 200)","(625, 0, 50)"
24,24,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
25,25,15,341.2643157033463,"(375, 0, 200)","(125, 0, 150)"
26,26,31,369.939131037713,"(625, 0, 200)","(375, 0, 0)"
27,27,43,391.44524253848806,"(375, 0, 50)","(625, 0, 200)"
28,28,47,398.61394637207974,"(125, 0, 200)","(625, 0, 150)"
29,29,27,362.77042720412135,"(375, 0, 200)","(375, 0, 150)"
