Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,41,387.86089062169225,"(375, 0, 200)","(625, 0, 50)"
1,1,27,362.77042720412135,"(375, 0, 200)","(625, 0, 100)"
2,2,35,377.1078348713047,"(125, 0, 150)","(625, 0, 200)"
3,3,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
4,4,45,395.0295944552839,"(625, 0, 200)","(125, 0, 0)"
5,5,33,373.5234829545089,"(375, 0, 200)","(125, 0, 100)"
6,6,31,369.939131037713,"(625, 0, 0)","(125, 0, 200)"
7,7,41,387.86089062169225,"(125, 0, 200)","(375, 0, 150)"
8,8,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
9,9,35,377.1078348713047,"(375, 0, 200)","(125, 0, 0)"
10,10,41,387.86089062169225,"(375, 0, 200)","(625, 0, 50)"
11,11,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
12,12,15,341.2643157033463,"(125, 0, 200)","(125, 0, 150)"
13,13,35,377.1078348713047,"(375, 0, 200)","(375, 0, 50)"
14,14,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
15,15,29,366.3547791209172,"(625, 0, 200)","(125, 0, 50)"
16,16,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
17,17,27,362.77042720412135,"(375, 0, 200)","(375, 0, 150)"
18,18,21,352.01737145373386,"(625, 0, 0)","(625, 0, 200)"
19,19,51,405.7826502056714,"(125, 0, 200)","(625, 0, 150)"
20,20,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
21,21,17,344.8486676201422,"(125, 0, 200)","(125, 0, 100)"
22,22,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
23,23,25,359.18607528732554,"(375, 0, 200)","(625, 0, 150)"
24,24,53,409.3670021224673,"(125, 0, 200)","(625, 0, 50)"
25,25,41,387.86089062169225,"(125, 0, 200)","(375, 0, 50)"
26,26,21,352.01737145373386,"(375, 0, 0)","(375, 0, 200)"
27,27,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
28,28,41,387.86089062169225,"(625, 0, 200)","(125, 0, 150)"
29,29,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
