Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 200)","(625, 0, 50)"
1,1,"(125, 0, 200)","(625, 0, 100)"
2,2,"(375, 0, 200)","(125, 0, 150)"
3,3,"(625, 0, 200)","(625, 0, 0)"
4,4,"(125, 0, 200)","(125, 0, 50)"
5,5,"(125, 0, 0)","(375, 0, 200)"
6,6,"(625, 0, 200)","(375, 0, 0)"
7,7,"(375, 0, 200)","(375, 0, 100)"
8,8,"(625, 0, 100)","(625, 0, 200)"
9,9,"(625, 0, 200)","(125, 0, 100)"
10,10,"(125, 0, 100)","(125, 0, 200)"
11,11,"(125, 0, 200)","(375, 0, 150)"
12,12,"(125, 0, 150)","(375, 0, 200)"
13,13,"(375, 0, 50)","(125, 0, 200)"
14,14,"(625, 0, 200)","(625, 0, 150)"
