Truck_id,Route_id,Pick_station,Drop_station
0,0,"(625, 0, 50)","(375, 0, 200)"
1,1,"(625, 0, 200)","(375, 0, 150)"
2,2,"(375, 0, 50)","(625, 0, 200)"
3,3,"(625, 0, 0)","(625, 0, 200)"
4,4,"(125, 0, 200)","(125, 0, 150)"
5,5,"(125, 0, 200)","(375, 0, 100)"
6,6,"(625, 0, 0)","(375, 0, 200)"
7,7,"(125, 0, 100)","(625, 0, 200)"
8,8,"(375, 0, 200)","(625, 0, 100)"
9,9,"(125, 0, 200)","(125, 0, 50)"
10,10,"(125, 0, 0)","(375, 0, 200)"
11,11,"(375, 0, 100)","(625, 0, 200)"
12,12,"(375, 0, 50)","(125, 0, 200)"
13,13,"(625, 0, 150)","(125, 0, 200)"
14,14,"(375, 0, 0)","(375, 0, 200)"
