Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 0)","(375, 0, 200)"
1,1,"(125, 0, 150)","(375, 0, 200)"
2,2,"(125, 0, 50)","(625, 0, 200)"
3,3,"(125, 0, 50)","(125, 0, 200)"
4,4,"(375, 0, 50)","(125, 0, 200)"
5,5,"(125, 0, 200)","(625, 0, 50)"
6,6,"(375, 0, 50)","(625, 0, 200)"
7,7,"(625, 0, 150)","(125, 0, 200)"
8,8,"(625, 0, 100)","(375, 0, 200)"
9,9,"(375, 0, 150)","(375, 0, 200)"
10,10,"(625, 0, 200)","(375, 0, 100)"
11,11,"(125, 0, 0)","(125, 0, 200)"
12,12,"(625, 0, 200)","(625, 0, 0)"
13,13,"(125, 0, 100)","(375, 0, 200)"
14,14,"(375, 0, 150)","(625, 0, 200)"
