Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 150)","(125, 0, 0)"
1,1,"(375, 0, 50)","(375, 0, 150)"
2,2,"(625, 0, 0)","(625, 0, 150)"
3,3,"(125, 0, 50)","(125, 0, 100)"
4,4,"(125, 0, 200)","(625, 0, 200)"
5,5,"(625, 0, 0)","(125, 0, 150)"
6,6,"(125, 0, 0)","(125, 0, 50)"
7,7,"(375, 0, 200)","(375, 0, 0)"
8,8,"(125, 0, 100)","(625, 0, 150)"
9,9,"(125, 0, 200)","(375, 0, 0)"
10,10,"(375, 0, 0)","(375, 0, 200)"
11,11,"(625, 0, 0)","(625, 0, 200)"
12,12,"(125, 0, 150)","(625, 0, 50)"
13,13,"(625, 0, 100)","(375, 0, 50)"
14,14,"(125, 0, 150)","(625, 0, 100)"
15,15,"(125, 0, 50)","(625, 0, 200)"
16,16,"(125, 0, 0)","(375, 0, 100)"
17,17,"(375, 0, 50)","(375, 0, 150)"
18,18,"(375, 0, 200)","(625, 0, 50)"
19,19,"(375, 0, 100)","(625, 0, 150)"
20,20,"(625, 0, 0)","(125, 0, 150)"
21,21,"(375, 0, 50)","(125, 0, 0)"
22,22,"(625, 0, 50)","(125, 0, 150)"
23,23,"(125, 0, 200)","(125, 0, 0)"
24,24,"(375, 0, 50)","(625, 0, 100)"
25,25,"(625, 0, 50)","(375, 0, 200)"
26,26,"(125, 0, 100)","(375, 0, 200)"
27,27,"(375, 0, 50)","(375, 0, 100)"
28,28,"(375, 0, 200)","(375, 0, 50)"
29,29,"(375, 0, 150)","(625, 0, 50)"
