Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,19,48.43301953693802,"(625, 0, 50)","(375, 0, 200)"
1,1,35,77.10783487130473,"(625, 0, 200)","(625, 0, 0)"
2,2,35,77.10783487130473,"(125, 0, 200)","(375, 0, 0)"
3,3,33,73.52348295450889,"(375, 0, 200)","(625, 0, 0)"
4,4,39,84.27653870489641,"(125, 0, 50)","(625, 0, 200)"
5,5,21,52.01737145373386,"(625, 0, 0)","(375, 0, 200)"
6,6,17,44.84866762014218,"(375, 0, 100)","(125, 0, 200)"
7,7,31,69.93913103771305,"(625, 0, 200)","(125, 0, 0)"
8,8,25,59.18607528732554,"(625, 0, 200)","(375, 0, 50)"
9,9,25,59.18607528732554,"(125, 0, 150)","(375, 0, 200)"
10,10,27,62.770427204121376,"(125, 0, 100)","(375, 0, 200)"
11,11,51,105.78265020567144,"(125, 0, 200)","(625, 0, 150)"
12,12,25,59.18607528732554,"(625, 0, 150)","(125, 0, 200)"
13,13,19,48.43301953693802,"(125, 0, 200)","(125, 0, 50)"
14,14,21,52.01737145373386,"(375, 0, 0)","(625, 0, 200)"
15,15,33,73.52348295450889,"(625, 0, 200)","(375, 0, 50)"
16,16,39,84.27653870489641,"(625, 0, 200)","(125, 0, 150)"
17,17,37,80.69218678810057,"(125, 0, 200)","(625, 0, 100)"
18,18,27,62.770427204121376,"(625, 0, 200)","(375, 0, 150)"
19,19,51,105.78265020567144,"(125, 0, 200)","(625, 0, 100)"
20,20,19,48.43301953693802,"(625, 0, 50)","(375, 0, 200)"
21,21,15,41.26431570334634,"(375, 0, 200)","(375, 0, 150)"
22,22,53,109.36700212246728,"(125, 0, 200)","(625, 0, 50)"
23,23,33,73.52348295450889,"(375, 0, 200)","(125, 0, 100)"
24,24,33,73.52348295450889,"(125, 0, 200)","(125, 0, 0)"
25,25,15,41.26431570334634,"(625, 0, 200)","(625, 0, 150)"
26,26,21,52.01737145373386,"(125, 0, 0)","(375, 0, 200)"
27,27,25,59.18607528732554,"(125, 0, 150)","(375, 0, 200)"
28,28,33,73.52348295450889,"(625, 0, 200)","(375, 0, 50)"
29,29,43,91.44524253848809,"(125, 0, 200)","(375, 0, 100)"
