Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,352.01737145373386,"(375, 0, 0)","(125, 0, 200)"
1,1,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
2,2,33,373.5234829545089,"(375, 0, 200)","(625, 0, 100)"
3,3,27,362.77042720412135,"(625, 0, 200)","(125, 0, 100)"
4,4,43,391.44524253848806,"(125, 0, 200)","(375, 0, 100)"
5,5,39,384.2765387048964,"(125, 0, 200)","(375, 0, 150)"
6,6,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
7,7,39,384.2765387048964,"(375, 0, 200)","(625, 0, 100)"
8,8,37,380.69218678810057,"(625, 0, 150)","(125, 0, 200)"
9,9,33,373.5234829545089,"(125, 0, 200)","(125, 0, 0)"
10,10,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
11,11,35,377.1078348713047,"(625, 0, 200)","(125, 0, 50)"
12,12,35,377.1078348713047,"(375, 0, 200)","(625, 0, 0)"
13,13,35,377.1078348713047,"(625, 0, 200)","(375, 0, 0)"
14,14,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
15,15,25,359.18607528732554,"(625, 0, 200)","(125, 0, 150)"
16,16,31,369.939131037713,"(375, 0, 200)","(125, 0, 50)"
17,17,39,384.2765387048964,"(625, 0, 200)","(125, 0, 150)"
18,18,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
19,19,43,391.44524253848806,"(625, 0, 200)","(125, 0, 100)"
20,20,21,352.01737145373386,"(375, 0, 200)","(375, 0, 150)"
21,21,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
22,22,51,405.7826502056714,"(125, 0, 200)","(625, 0, 50)"
23,23,27,362.77042720412135,"(625, 0, 0)","(375, 0, 200)"
24,24,17,344.8486676201422,"(375, 0, 100)","(375, 0, 200)"
