Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,19,348.433019536938,"(375, 0, 50)","(125, 0, 200)"
1,1,19,348.433019536938,"(625, 0, 50)","(375, 0, 200)"
2,2,21,352.01737145373386,"(375, 0, 200)","(625, 0, 0)"
3,3,31,369.939131037713,"(125, 0, 200)","(125, 0, 150)"
4,4,31,369.939131037713,"(375, 0, 200)","(375, 0, 100)"
5,5,21,352.01737145373386,"(375, 0, 0)","(125, 0, 200)"
6,6,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
7,7,31,369.939131037713,"(625, 0, 200)","(125, 0, 0)"
8,8,27,362.77042720412135,"(125, 0, 200)","(125, 0, 150)"
9,9,45,395.0295944552839,"(125, 0, 200)","(625, 0, 0)"
10,10,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
11,11,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
12,12,21,352.01737145373386,"(625, 0, 0)","(625, 0, 200)"
13,13,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
14,14,23,355.60172337052967,"(375, 0, 200)","(125, 0, 100)"
15,15,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
16,16,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
17,17,19,348.433019536938,"(375, 0, 50)","(375, 0, 200)"
18,18,19,348.433019536938,"(125, 0, 50)","(125, 0, 200)"
19,19,35,377.1078348713047,"(375, 0, 200)","(375, 0, 0)"
20,20,27,362.77042720412135,"(625, 0, 50)","(625, 0, 200)"
21,21,31,369.939131037713,"(375, 0, 200)","(125, 0, 50)"
22,22,35,377.1078348713047,"(125, 0, 200)","(625, 0, 150)"
23,23,27,362.77042720412135,"(625, 0, 200)","(125, 0, 100)"
24,24,35,377.1078348713047,"(375, 0, 200)","(125, 0, 0)"
