Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,21,352.01737145373386,"(375, 0, 0)","(125, 0, 200)"
1,1,41,387.86089062169225,"(125, 0, 200)","(375, 0, 50)"
2,2,41,387.86089062169225,"(625, 0, 200)","(125, 0, 150)"
3,3,41,387.86089062169225,"(375, 0, 200)","(625, 0, 50)"
4,4,19,348.433019536938,"(625, 0, 200)","(625, 0, 50)"
5,5,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
6,6,33,373.5234829545089,"(375, 0, 200)","(375, 0, 50)"
7,7,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
8,8,33,373.5234829545089,"(375, 0, 0)","(125, 0, 200)"
9,9,53,409.3670021224673,"(125, 0, 200)","(625, 0, 100)"
10,10,19,348.433019536938,"(125, 0, 200)","(125, 0, 50)"
11,11,15,341.2643157033463,"(375, 0, 200)","(125, 0, 150)"
12,12,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
13,13,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
14,14,39,384.2765387048964,"(625, 0, 200)","(125, 0, 150)"
15,15,31,369.939131037713,"(625, 0, 200)","(375, 0, 100)"
16,16,27,362.77042720412135,"(375, 0, 200)","(625, 0, 100)"
17,17,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
18,18,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
19,19,45,395.0295944552839,"(625, 0, 200)","(125, 0, 50)"
20,20,31,369.939131037713,"(125, 0, 200)","(625, 0, 0)"
21,21,37,380.69218678810057,"(625, 0, 150)","(125, 0, 200)"
22,22,15,341.2643157033463,"(375, 0, 150)","(375, 0, 200)"
23,23,37,380.69218678810057,"(125, 0, 200)","(375, 0, 150)"
24,24,31,369.939131037713,"(375, 0, 200)","(375, 0, 100)"
