Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,57,416.53570595605896,"(625, 0, 50)","(125, 0, 200)"
1,1,33,373.5234829545089,"(625, 0, 150)","(125, 0, 200)"
2,2,29,366.3547791209172,"(375, 0, 200)","(375, 0, 100)"
3,3,45,395.0295944552839,"(625, 0, 200)","(375, 0, 50)"
4,4,31,369.939131037713,"(625, 0, 200)","(375, 0, 150)"
5,5,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
6,6,37,380.69218678810057,"(625, 0, 200)","(125, 0, 0)"
7,7,27,362.77042720412135,"(375, 0, 0)","(375, 0, 200)"
8,8,41,387.86089062169225,"(375, 0, 200)","(625, 0, 100)"
9,9,15,341.2643157033463,"(125, 0, 150)","(125, 0, 200)"
