Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,39,384.2765387048964,"(625, 0, 50)","(125, 0, 200)"
1,1,25,359.18607528732554,"(375, 0, 200)","(125, 0, 50)"
2,2,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
3,3,21,352.01737145373386,"(625, 0, 200)","(625, 0, 0)"
4,4,27,362.77042720412135,"(125, 0, 200)","(125, 0, 150)"
5,5,27,362.77042720412135,"(625, 0, 200)","(375, 0, 150)"
6,6,33,373.5234829545089,"(125, 0, 0)","(375, 0, 200)"
7,7,61,423.70440978965064,"(625, 0, 200)","(375, 0, 0)"
8,8,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
9,9,43,391.44524253848806,"(625, 0, 200)","(125, 0, 100)"
