Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,15,341.2643157033463,"(625, 0, 150)","(625, 0, 200)"
1,1,31,369.939131037713,"(125, 0, 200)","(625, 0, 0)"
2,2,17,344.8486676201422,"(625, 0, 200)","(625, 0, 100)"
3,3,35,377.1078348713047,"(375, 0, 200)","(125, 0, 0)"
4,4,43,391.44524253848806,"(625, 0, 200)","(125, 0, 50)"
5,5,15,341.2643157033463,"(125, 0, 150)","(125, 0, 200)"
6,6,17,344.8486676201422,"(375, 0, 200)","(125, 0, 100)"
7,7,17,344.8486676201422,"(375, 0, 100)","(375, 0, 200)"
8,8,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
9,9,33,373.5234829545089,"(375, 0, 200)","(625, 0, 0)"
10,10,35,377.1078348713047,"(625, 0, 200)","(375, 0, 0)"
11,11,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
12,12,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
13,13,19,348.433019536938,"(125, 0, 50)","(125, 0, 200)"
14,14,31,369.939131037713,"(125, 0, 200)","(125, 0, 100)"
15,15,27,362.77042720412135,"(375, 0, 200)","(375, 0, 150)"
16,16,55,412.9513540392631,"(125, 0, 200)","(625, 0, 50)"
17,17,35,377.1078348713047,"(125, 0, 200)","(125, 0, 0)"
18,18,21,352.01737145373386,"(625, 0, 200)","(375, 0, 150)"
19,19,27,362.77042720412135,"(375, 0, 50)","(375, 0, 200)"
20,20,45,395.0295944552839,"(625, 0, 200)","(125, 0, 0)"
21,21,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
22,22,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
23,23,27,362.77042720412135,"(375, 0, 0)","(375, 0, 200)"
24,24,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
