Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,33,373.5234829545089,"(125, 0, 200)","(125, 0, 0)"
1,1,37,380.69218678810057,"(375, 0, 200)","(625, 0, 0)"
2,2,35,377.1078348713047,"(125, 0, 200)","(625, 0, 150)"
3,3,31,369.939131037713,"(625, 0, 200)","(625, 0, 50)"
4,4,33,373.5234829545089,"(375, 0, 200)","(125, 0, 100)"
5,5,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
6,6,19,348.433019536938,"(625, 0, 200)","(375, 0, 50)"
7,7,33,373.5234829545089,"(625, 0, 200)","(375, 0, 50)"
8,8,41,387.86089062169225,"(125, 0, 200)","(375, 0, 100)"
9,9,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
10,10,27,362.77042720412135,"(125, 0, 50)","(125, 0, 200)"
11,11,15,341.2643157033463,"(375, 0, 200)","(375, 0, 150)"
12,12,29,366.3547791209172,"(375, 0, 200)","(125, 0, 150)"
13,13,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
14,14,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
