Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(625, 0, 200)","(625, 0, 150)"
1,1,43,391.44524253848806,"(375, 0, 200)","(625, 0, 50)"
2,2,37,380.69218678810057,"(125, 0, 100)","(625, 0, 200)"
3,3,31,369.939131037713,"(375, 0, 200)","(375, 0, 100)"
4,4,33,373.5234829545089,"(375, 0, 200)","(375, 0, 50)"
5,5,45,395.0295944552839,"(125, 0, 150)","(625, 0, 200)"
6,6,35,377.1078348713047,"(125, 0, 200)","(125, 0, 50)"
7,7,19,348.433019536938,"(625, 0, 50)","(625, 0, 200)"
8,8,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
9,9,27,362.77042720412135,"(375, 0, 200)","(625, 0, 100)"
10,10,19,348.433019536938,"(125, 0, 50)","(125, 0, 200)"
11,11,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
12,12,21,352.01737145373386,"(125, 0, 200)","(125, 0, 0)"
13,13,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
14,14,21,352.01737145373386,"(625, 0, 0)","(375, 0, 200)"
15,15,29,366.3547791209172,"(375, 0, 50)","(625, 0, 200)"
16,16,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
17,17,27,362.77042720412135,"(375, 0, 200)","(625, 0, 100)"
18,18,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
19,19,31,369.939131037713,"(375, 0, 200)","(125, 0, 100)"
20,20,37,380.69218678810057,"(625, 0, 0)","(125, 0, 200)"
21,21,49,402.1982982888756,"(125, 0, 200)","(625, 0, 150)"
22,22,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
23,23,27,362.77042720412135,"(625, 0, 200)","(375, 0, 150)"
24,24,35,377.1078348713047,"(125, 0, 200)","(375, 0, 0)"
