Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,27,362.77042720412135,"(625, 0, 200)","(125, 0, 100)"
1,1,35,377.1078348713047,"(625, 0, 200)","(375, 0, 50)"
2,2,29,366.3547791209172,"(375, 0, 50)","(125, 0, 200)"
3,3,43,391.44524253848806,"(375, 0, 200)","(625, 0, 50)"
4,4,21,352.01737145373386,"(375, 0, 0)","(625, 0, 200)"
5,5,33,373.5234829545089,"(375, 0, 200)","(125, 0, 0)"
6,6,27,362.77042720412135,"(125, 0, 200)","(375, 0, 100)"
7,7,21,352.01737145373386,"(625, 0, 0)","(625, 0, 200)"
8,8,29,366.3547791209172,"(125, 0, 200)","(125, 0, 100)"
9,9,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
10,10,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
11,11,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
12,12,25,359.18607528732554,"(625, 0, 150)","(125, 0, 200)"
13,13,27,362.77042720412135,"(375, 0, 200)","(625, 0, 100)"
14,14,43,391.44524253848806,"(375, 0, 200)","(625, 0, 50)"
15,15,27,362.77042720412135,"(375, 0, 100)","(625, 0, 200)"
16,16,27,362.77042720412135,"(125, 0, 200)","(125, 0, 150)"
17,17,29,366.3547791209172,"(125, 0, 50)","(375, 0, 200)"
18,18,47,398.61394637207974,"(625, 0, 200)","(125, 0, 0)"
19,19,21,352.01737145373386,"(625, 0, 200)","(375, 0, 0)"
20,20,15,341.2643157033463,"(625, 0, 150)","(375, 0, 200)"
21,21,27,362.77042720412135,"(625, 0, 0)","(625, 0, 200)"
22,22,41,387.86089062169225,"(625, 0, 0)","(125, 0, 200)"
23,23,25,359.18607528732554,"(125, 0, 200)","(375, 0, 150)"
24,24,31,369.939131037713,"(125, 0, 0)","(625, 0, 200)"
25,25,31,369.939131037713,"(375, 0, 200)","(125, 0, 150)"
26,26,29,366.3547791209172,"(375, 0, 200)","(625, 0, 50)"
27,27,33,373.5234829545089,"(125, 0, 200)","(125, 0, 50)"
28,28,17,344.8486676201422,"(625, 0, 100)","(625, 0, 200)"
29,29,15,341.2643157033463,"(375, 0, 150)","(125, 0, 200)"
