Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,37,380.69218678810057,"(375, 0, 200)","(625, 0, 150)"
1,1,33,373.5234829545089,"(625, 0, 200)","(375, 0, 0)"
2,2,39,384.2765387048964,"(625, 0, 200)","(125, 0, 150)"
3,3,27,362.77042720412135,"(375, 0, 0)","(375, 0, 200)"
4,4,17,344.8486676201422,"(375, 0, 100)","(375, 0, 200)"
5,5,27,362.77042720412135,"(625, 0, 100)","(125, 0, 200)"
6,6,31,369.939131037713,"(125, 0, 200)","(125, 0, 100)"
7,7,39,384.2765387048964,"(125, 0, 200)","(375, 0, 100)"
8,8,21,352.01737145373386,"(625, 0, 200)","(625, 0, 0)"
9,9,29,366.3547791209172,"(625, 0, 200)","(375, 0, 150)"
10,10,19,348.433019536938,"(625, 0, 50)","(625, 0, 200)"
11,11,21,352.01737145373386,"(375, 0, 200)","(625, 0, 0)"
12,12,15,341.2643157033463,"(125, 0, 200)","(125, 0, 150)"
13,13,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
14,14,37,380.69218678810057,"(375, 0, 200)","(125, 0, 0)"
15,15,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
16,16,49,402.1982982888756,"(125, 0, 200)","(625, 0, 150)"
17,17,53,409.3670021224673,"(125, 0, 200)","(625, 0, 50)"
18,18,31,369.939131037713,"(375, 0, 200)","(375, 0, 50)"
19,19,39,384.2765387048964,"(125, 0, 50)","(625, 0, 200)"
