Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,41,387.86089062169225,"(375, 0, 200)","(625, 0, 150)"
1,1,25,359.18607528732554,"(125, 0, 150)","(375, 0, 200)"
2,2,17,344.8486676201422,"(625, 0, 100)","(375, 0, 200)"
3,3,31,369.939131037713,"(625, 0, 200)","(625, 0, 50)"
4,4,17,344.8486676201422,"(125, 0, 200)","(125, 0, 100)"
5,5,27,362.77042720412135,"(375, 0, 0)","(625, 0, 200)"
6,6,19,348.433019536938,"(375, 0, 200)","(125, 0, 50)"
7,7,45,395.0295944552839,"(625, 0, 200)","(125, 0, 0)"
8,8,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
9,9,31,369.939131037713,"(125, 0, 200)","(125, 0, 150)"
10,10,21,352.01737145373386,"(625, 0, 200)","(625, 0, 0)"
11,11,33,373.5234829545089,"(125, 0, 200)","(125, 0, 0)"
12,12,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
13,13,27,362.77042720412135,"(125, 0, 100)","(375, 0, 200)"
14,14,29,366.3547791209172,"(625, 0, 50)","(125, 0, 200)"
15,15,27,362.77042720412135,"(625, 0, 100)","(375, 0, 200)"
16,16,29,366.3547791209172,"(125, 0, 200)","(375, 0, 50)"
17,17,31,369.939131037713,"(625, 0, 200)","(375, 0, 50)"
18,18,37,380.69218678810057,"(125, 0, 200)","(375, 0, 150)"
19,19,29,366.3547791209172,"(375, 0, 200)","(375, 0, 100)"
