Truck_id,Route_id,Path_length,Completion_Time_alone,Pick_station,Drop_station
0,0,33,373.5234829545089,"(375, 0, 200)","(125, 0, 100)"
1,1,25,359.18607528732554,"(375, 0, 150)","(625, 0, 200)"
2,2,17,344.8486676201422,"(375, 0, 100)","(125, 0, 200)"
3,3,37,380.69218678810057,"(375, 0, 200)","(125, 0, 150)"
4,4,33,373.5234829545089,"(625, 0, 200)","(625, 0, 100)"
5,5,27,362.77042720412135,"(625, 0, 200)","(625, 0, 150)"
6,6,43,391.44524253848806,"(375, 0, 200)","(375, 0, 50)"
7,7,59,420.1200578728548,"(125, 0, 200)","(625, 0, 50)"
8,8,35,377.1078348713047,"(625, 0, 200)","(625, 0, 0)"
9,9,21,352.01737145373386,"(125, 0, 0)","(125, 0, 200)"
