Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(625, 0, 150)"
1,1,"(125, 0, 200)","(375, 0, 0)"
2,2,"(375, 0, 200)","(625, 0, 0)"
3,3,"(625, 0, 200)","(375, 0, 0)"
4,4,"(375, 0, 200)","(125, 0, 50)"
5,5,"(125, 0, 150)","(625, 0, 200)"
6,6,"(375, 0, 200)","(125, 0, 50)"
7,7,"(625, 0, 100)","(125, 0, 200)"
8,8,"(125, 0, 200)","(125, 0, 100)"
9,9,"(625, 0, 200)","(625, 0, 150)"
10,10,"(625, 0, 200)","(125, 0, 100)"
11,11,"(375, 0, 150)","(125, 0, 200)"
12,12,"(625, 0, 50)","(375, 0, 200)"
13,13,"(125, 0, 0)","(375, 0, 200)"
14,14,"(375, 0, 200)","(375, 0, 150)"
15,15,"(375, 0, 200)","(375, 0, 50)"
16,16,"(125, 0, 150)","(125, 0, 200)"
17,17,"(375, 0, 50)","(625, 0, 200)"
18,18,"(125, 0, 50)","(625, 0, 200)"
19,19,"(625, 0, 50)","(375, 0, 200)"
20,20,"(625, 0, 150)","(125, 0, 200)"
21,21,"(125, 0, 200)","(375, 0, 100)"
22,22,"(625, 0, 200)","(375, 0, 100)"
23,23,"(125, 0, 0)","(625, 0, 200)"
24,24,"(375, 0, 200)","(625, 0, 0)"
25,25,"(375, 0, 150)","(125, 0, 200)"
26,26,"(625, 0, 200)","(375, 0, 50)"
27,27,"(625, 0, 100)","(625, 0, 200)"
28,28,"(125, 0, 200)","(375, 0, 100)"
29,29,"(375, 0, 200)","(625, 0, 100)"
