Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 200)","(375, 0, 150)"
1,1,"(375, 0, 0)","(375, 0, 200)"
2,2,"(125, 0, 200)","(625, 0, 50)"
3,3,"(375, 0, 200)","(375, 0, 150)"
4,4,"(625, 0, 0)","(625, 0, 200)"
5,5,"(625, 0, 50)","(375, 0, 200)"
6,6,"(625, 0, 100)","(125, 0, 200)"
7,7,"(375, 0, 200)","(125, 0, 150)"
8,8,"(375, 0, 50)","(125, 0, 200)"
9,9,"(625, 0, 0)","(375, 0, 200)"
10,10,"(625, 0, 200)","(375, 0, 50)"
11,11,"(125, 0, 200)","(625, 0, 100)"
12,12,"(375, 0, 200)","(625, 0, 0)"
13,13,"(125, 0, 0)","(375, 0, 200)"
14,14,"(125, 0, 200)","(375, 0, 100)"
15,15,"(375, 0, 150)","(125, 0, 200)"
16,16,"(125, 0, 0)","(625, 0, 200)"
17,17,"(125, 0, 200)","(125, 0, 100)"
18,18,"(125, 0, 50)","(375, 0, 200)"
19,19,"(625, 0, 200)","(375, 0, 100)"
20,20,"(375, 0, 100)","(375, 0, 200)"
21,21,"(625, 0, 200)","(125, 0, 0)"
22,22,"(625, 0, 200)","(625, 0, 150)"
23,23,"(375, 0, 0)","(625, 0, 200)"
24,24,"(375, 0, 200)","(375, 0, 50)"
25,25,"(375, 0, 0)","(625, 0, 200)"
26,26,"(125, 0, 200)","(625, 0, 100)"
27,27,"(625, 0, 200)","(375, 0, 50)"
28,28,"(375, 0, 200)","(125, 0, 50)"
29,29,"(375, 0, 200)","(625, 0, 150)"
30,30,"(375, 0, 200)","(125, 0, 100)"
31,31,"(125, 0, 0)","(375, 0, 200)"
32,32,"(625, 0, 100)","(375, 0, 200)"
33,33,"(625, 0, 200)","(625, 0, 100)"
34,34,"(625, 0, 200)","(375, 0, 50)"
35,35,"(375, 0, 150)","(625, 0, 200)"
36,36,"(375, 0, 0)","(125, 0, 200)"
37,37,"(375, 0, 200)","(375, 0, 100)"
38,38,"(625, 0, 100)","(125, 0, 200)"
39,39,"(125, 0, 200)","(125, 0, 150)"
