Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 0)","(625, 0, 200)"
1,1,"(125, 0, 200)","(375, 0, 100)"
2,2,"(625, 0, 200)","(125, 0, 150)"
3,3,"(375, 0, 200)","(625, 0, 100)"
4,4,"(125, 0, 100)","(125, 0, 200)"
5,5,"(625, 0, 200)","(625, 0, 100)"
6,6,"(625, 0, 150)","(125, 0, 200)"
7,7,"(625, 0, 50)","(625, 0, 200)"
8,8,"(375, 0, 200)","(125, 0, 100)"
9,9,"(375, 0, 200)","(625, 0, 0)"
10,10,"(125, 0, 200)","(625, 0, 50)"
11,11,"(625, 0, 200)","(125, 0, 150)"
12,12,"(375, 0, 200)","(625, 0, 150)"
13,13,"(375, 0, 100)","(375, 0, 200)"
14,14,"(125, 0, 0)","(125, 0, 200)"
15,15,"(375, 0, 200)","(375, 0, 50)"
16,16,"(625, 0, 200)","(125, 0, 0)"
17,17,"(125, 0, 50)","(125, 0, 200)"
18,18,"(125, 0, 200)","(375, 0, 150)"
19,19,"(625, 0, 200)","(375, 0, 0)"
