Truck_id,Route_id,Pick_station,Drop_station
0,0,"(375, 0, 100)","(125, 0, 200)"
1,1,"(375, 0, 150)","(625, 0, 200)"
2,2,"(625, 0, 200)","(625, 0, 0)"
3,3,"(125, 0, 150)","(625, 0, 200)"
4,4,"(625, 0, 200)","(125, 0, 150)"
5,5,"(125, 0, 200)","(625, 0, 0)"
6,6,"(625, 0, 200)","(375, 0, 150)"
7,7,"(625, 0, 200)","(375, 0, 100)"
8,8,"(125, 0, 0)","(125, 0, 200)"
9,9,"(125, 0, 200)","(625, 0, 50)"
10,10,"(125, 0, 200)","(375, 0, 0)"
11,11,"(375, 0, 200)","(125, 0, 50)"
12,12,"(125, 0, 100)","(125, 0, 200)"
13,13,"(125, 0, 50)","(125, 0, 200)"
14,14,"(625, 0, 150)","(625, 0, 200)"
15,15,"(125, 0, 200)","(375, 0, 150)"
16,16,"(625, 0, 0)","(625, 0, 200)"
17,17,"(125, 0, 0)","(625, 0, 200)"
18,18,"(125, 0, 200)","(125, 0, 0)"
19,19,"(625, 0, 200)","(125, 0, 50)"
20,20,"(375, 0, 200)","(625, 0, 50)"
21,21,"(125, 0, 200)","(625, 0, 100)"
22,22,"(125, 0, 200)","(375, 0, 100)"
23,23,"(375, 0, 200)","(125, 0, 50)"
24,24,"(625, 0, 200)","(375, 0, 0)"
25,25,"(375, 0, 0)","(375, 0, 200)"
26,26,"(125, 0, 200)","(625, 0, 0)"
27,27,"(125, 0, 50)","(625, 0, 200)"
28,28,"(125, 0, 200)","(375, 0, 100)"
29,29,"(375, 0, 200)","(125, 0, 100)"
