Truck_id,Route_id,Pick_station,Drop_station
0,0,"(125, 0, 200)","(375, 0, 150)"
1,1,"(125, 0, 150)","(375, 0, 200)"
2,2,"(125, 0, 200)","(375, 0, 0)"
3,3,"(125, 0, 100)","(375, 0, 200)"
4,4,"(125, 0, 200)","(625, 0, 150)"
5,5,"(625, 0, 100)","(625, 0, 200)"
6,6,"(625, 0, 200)","(125, 0, 100)"
7,7,"(625, 0, 50)","(625, 0, 200)"
8,8,"(375, 0, 200)","(375, 0, 100)"
9,9,"(375, 0, 50)","(125, 0, 200)"
10,10,"(625, 0, 0)","(375, 0, 200)"
11,11,"(625, 0, 150)","(125, 0, 200)"
12,12,"(375, 0, 200)","(625, 0, 0)"
13,13,"(125, 0, 50)","(625, 0, 200)"
14,14,"(375, 0, 200)","(375, 0, 0)"
15,15,"(625, 0, 200)","(125, 0, 100)"
16,16,"(125, 0, 150)","(375, 0, 200)"
17,17,"(125, 0, 50)","(125, 0, 200)"
18,18,"(625, 0, 200)","(125, 0, 0)"
19,19,"(625, 0, 200)","(375, 0, 100)"
20,20,"(375, 0, 200)","(125, 0, 0)"
21,21,"(625, 0, 200)","(375, 0, 50)"
22,22,"(625, 0, 100)","(125, 0, 200)"
23,23,"(375, 0, 150)","(125, 0, 200)"
24,24,"(625, 0, 200)","(625, 0, 50)"
