Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-23,Route-23,(425.0 0.0 155.5),(125.0 0.0 200.0),347.72,10.104,26.616
Truck-14,Route-14,(425.0 0.0 205.5),(125.0 0.0 0.0),351.928,7.72,39.208
Truck-5,Route-5,(675.0 0.0 105.5),(625.0 0.0 200.0),352.424,7.728,39.68
Truck-9,Route-9,(425.0 0.0 55.5),(125.0 0.0 200.0),353.16,7.728,40.432
Truck-7,Route-7,(675.0 0.0 55.5),(625.0 0.0 200.0),360.592,7.728,47.84
Truck-1,Route-1,(175.0 0.0 155.5),(375.0 0.0 200.0),363.024,7.736,50.272
Truck-6,Route-6,(675.0 0.0 205.5),(125.0 0.0 100.0),365.776,7.728,53.04
Truck-17,Route-17,(175.0 0.0 55.5),(125.0 0.0 200.0),367.048,10.32,42.728
Truck-21,Route-21,(675.0 0.0 205.5),(375.0 0.0 50.0),369.136,10.328,53.784
Truck-10,Route-10,(675.0 0.0 5.5),(375.0 0.0 200.0),370.072,7.728,57.36
Truck-0,Route-0,(175.0 0.0 205.5),(375.0 0.0 150.0),371.736,7.736,59
Truck-11,Route-11,(675.0 0.0 155.5),(125.0 0.0 200.0),373.056,7.72,60.336
Truck-16,Route-16,(175.0 0.0 155.5),(375.0 0.0 200.0),378.208,10.336,62.856
Truck-20,Route-20,(425.0 0.0 205.5),(625.0 0.0 0.0),378.84,10.312,54.544
Truck-15,Route-15,(675.0 0.0 -5.5),(625.0 0.0 50.0),383.152,36.936,41.152
Truck-22,Route-22,(675.0 0.0 105.5),(125.0 0.0 200.0),383.672,10.328,62.336
Truck-24,Route-24,(675.0 0.0 155.5),(375.0 0.0 100.0),389.112,36.48,44.552
Truck-2,Route-2,(425.0 0.0 155.5),(375.0 0.0 0.0),389.52,30.808,53.704
Truck-3,Route-3,(175.0 0.0 105.5),(375.0 0.0 200.0),393.92,7.736,81.184
Truck-19,Route-19,(675.0 0.0 55.5),(375.0 0.0 100.0),401.376,49.744,40.64
Truck-8,Route-8,(425.0 0.0 -5.5),(125.0 0.0 100.0),413.136,40.36,64.688
Truck-13,Route-13,(175.0 0.0 55.5),(625.0 0.0 200.0),418.808,7.72,106.088
Truck-12,Route-12,(175.0 0.0 5.5),(375.0 0.0 0.0),420.616,42.464,61.104
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 150.0),428,35.712,87.272
Truck-18,Route-18,(425.0 0.0 -5.5),(125.0 0.0 0.0),435.896,44.392,68.496
Truck-113,Route-113,(425.0 0.0 155.5),(125.0 0.0 200.0),341.296,6.848,29.448
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),342.128,9.32,27.816
Truck-116,Route-116,(175.0 0.0 155.5),(125.0 0.0 200.0),343.304,11.544,26.752
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),345.84,6.864,33.968
Truck-106,Route-106,(675.0 0.0 55.5),(625.0 0.0 200.0),354.832,6.864,42.976
Truck-102,Route-102,(425.0 0.0 205.5),(375.0 0.0 50.0),355.28,6.872,43.416
Truck-107,Route-107,(675.0 0.0 5.5),(625.0 0.0 200.0),356.552,6.864,44.68
Truck-126,Route-126,(175.0 0.0 55.5),(125.0 0.0 200.0),358.552,9.32,44.248
Truck-110,Route-110,(175.0 0.0 205.5),(375.0 0.0 0.0),359.328,6.856,47.464
Truck-121,Route-121,(675.0 0.0 55.5),(375.0 0.0 200.0),359.992,9.376,45.616
Truck-124,Route-124,(425.0 0.0 205.5),(125.0 0.0 150.0),362.328,9.376,41.96
Truck-125,Route-125,(425.0 0.0 5.5),(625.0 0.0 200.0),364.136,9.376,49.776
Truck-101,Route-101,(425.0 0.0 105.5),(625.0 0.0 200.0),369.208,6.872,57.328
Truck-111,Route-111,(675.0 0.0 155.5),(125.0 0.0 200.0),373.504,6.856,61.648
Truck-123,Route-123,(425.0 0.0 105.5),(625.0 0.0 200.0),379.064,9.336,64.728
Truck-100,Route-100,(425.0 0.0 55.5),(625.0 0.0 200.0),380.76,6.872,68.904
Truck-108,Route-108,(675.0 0.0 205.5),(125.0 0.0 100.0),382.72,31.08,46.536
Truck-104,Route-104,(425.0 0.0 5.5),(125.0 0.0 200.0),387.824,6.864,75.936
Truck-119,Route-119,(175.0 0.0 105.5),(375.0 0.0 200.0),393.104,9.2,78.912
Truck-128,Route-128,(675.0 0.0 205.5),(125.0 0.0 50.0),396.168,36.192,54.976
Truck-115,Route-115,(425.0 0.0 55.5),(625.0 0.0 200.0),396.208,9.336,81.864
Truck-114,Route-114,(175.0 0.0 5.5),(375.0 0.0 200.0),397.12,6.848,85.28
Truck-127,Route-127,(175.0 0.0 5.5),(375.0 0.0 200.0),407.888,9.36,87.536
Truck-109,Route-109,(175.0 0.0 55.5),(375.0 0.0 200.0),410.352,6.856,98.496
Truck-112,Route-112,(175.0 0.0 105.5),(125.0 0.0 100.0),411.504,42.6,60.896
Truck-120,Route-120,(675.0 0.0 105.5),(625.0 0.0 0.0),416.28,67.08,44.192
Truck-129,Route-129,(425.0 0.0 155.5),(125.0 0.0 150.0),425.4,45.768,65.616
Truck-122,Route-122,(675.0 0.0 5.5),(625.0 0.0 200.0),430.592,64.912,60.672
Truck-117,Route-117,(175.0 0.0 205.5),(625.0 0.0 100.0),432.672,9.368,112.312
Truck-103,Route-103,(175.0 0.0 155.5),(625.0 0.0 50.0),441.296,38.552,97.76
