Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-0,Route-0,(175.0 0.0 155.5),(125.0 0.0 200.0),341.2643,338.968,-0.05564919,2.597866,6.92,27.008,,,395.264,398.208,398.208,-0.00420585,-0.001413159,-0.002344056
Truck-4,Route-4,(175.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,362.768,-3.840804E-05,2.324741,16.44,41.304
Truck-1,Route-1,(675.0 0.0 5.5),(375.0 0.0 200.0),369.9391,375.744,0.08299891,2.443354,6.92,63.784
Truck-3,Route-3,(175.0 0.0 55.5),(375.0 0.0 50.0),395.0296,393.664,-0.01437027,2.081422,38.544,50.104
Truck-2,Route-2,(425.0 0.0 194.5),(125.0 0.0 0.0),398.614,395.264,-0.0339703,2.026894,16.44,73.792
Truck-109,Route-109,(425.0 0.0 155.5),(375.0 0.0 200.0),341.2643,338.824,-0.05913845,2.588267,7.048,26.744
Truck-103,Route-103,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,342.784,-0.04603631,2.516706,7.056,30.736
Truck-101,Route-101,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,343.504,-0.02998229,2.559059,7.056,31.464
Truck-107,Route-107,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,345.976,-0.05072987,2.41979,7.048,33.936
Truck-105,Route-105,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,347.744,-0.01422637,2.512841,7.056,35.68
Truck-106,Route-106,(675.0 0.0 205.5),(625.0 0.0 50.0),348.433,353.92,0.1132905,2.837895,7.056,41.864
Truck-108,Route-108,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,373.232,0.04708205,2.362322,7.048,61.176
Truck-102,Route-102,(425.0 0.0 105.5),(625.0 0.0 200.0),377.1078,377.312,0.002647754,2.208915,33.672,38.56
Truck-100,Route-100,(675.0 0.0 55.5),(125.0 0.0 150.0),387.8609,390.24,0.02707791,2.200975,39.472,45.704
Truck-104,Route-104,(425.0 0.0 -5.5),(125.0 0.0 200.0),398.614,398.208,-0.004116505,2.089532,50.144,43.024
