Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-7,Route-7,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,349.4,-0.05031725,21.0,2.352380952380951,16.6381,6.864,37.488,,,452.176,411.784,452.176,0.1878972,0.1124392,0.1447784
Truck-2,Route-2,(675.0 0.0 205.5),(375.0 0.0 50.0),348.433,349.688,0.02591155,19.0,2.6151578947368415,18.40463,6.872,37.768,,,,,,,,
Truck-4,Route-4,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,358.264,0.1200877,21.0,2.7744761904761908,17.06019,6.872,46.336,,,,,,,,
Truck-1,Route-1,(425.0 0.0 205.5),(625.0 0.0 100.0),362.7704,366.984,0.06712704,27.0,2.480888888888888,13.592,6.872,55.056,,,,,,,,
Truck-10,Route-10,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,371.576,0.02340423,31.0,2.308903225806452,11.98632,6.864,59.648,,,,,,,,
Truck-13,Route-13,(675.0 0.0 155.5),(375.0 0.0 50.0),369.9391,377.224,0.1041603,31.0,2.491096774193548,12.16852,29.968,42.208,,,,,,,,
Truck-6,Route-6,(175.0 0.0 205.5),(625.0 0.0 150.0),377.1078,377.544,0.005656457,35.0,2.215542857142857,10.78697,6.864,65.616,,,,,,,,
Truck-9,Route-9,(675.0 0.0 105.5),(125.0 0.0 50.0),373.5235,384.952,0.1554405,33.0,2.5743030303030303,11.66521,34.88,41.992,,,,,,,,
Truck-5,Route-5,(425.0 0.0 55.5),(125.0 0.0 0.0),380.6922,385.512,0.0597306,37.0,2.3111351351351352,10.41924,40.152,37.344,,,,,,,,
Truck-11,Route-11,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,402.424,0.3283215,35.0,2.9263999999999992,11.49783,6.864,90.52,,,,,,,,
Truck-8,Route-8,(675.0 0.0 55.5),(375.0 0.0 100.0),373.5235,409.68,0.4917685,33.0,3.3236363636363637,12.41455,40.144,58.528,,,,,,,,
Truck-12,Route-12,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,411.488,0.3816454,37.0,3.0131891891891893,11.1213,6.864,99.6,,,,,,,,
Truck-14,Route-14,(425.0 0.0 155.5),(375.0 0.0 150.0),380.6922,412.824,0.3982021,37.0,3.0492972972972976,11.15741,29.968,77.792,,,,,,,,
