Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,Path_length,TravelTime_by_Distance,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,Unnamed: 10,Unnamed: 11,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(675.0 0.0 155.5),(625.0 0.0 200.0),341.2643,340.656,-0.01474172,15.0,2.7104000000000004,22.7104,6.824,28.744,,,408.152,426.616,426.616,0.1308319,0.1692965,0.1528117
Truck-4,Route-4,(675.0 0.0 105.5),(625.0 0.0 200.0),344.8487,344.744,-0.002333967,17.0,2.6320000000000014,20.27906,6.824,32.768,,,,,,,,
Truck-6,Route-6,(675.0 0.0 205.5),(625.0 0.0 50.0),348.433,353.072,0.0957813,19.0,2.793263157894737,18.58274,6.824,41.152,,,,,,,,
Truck-9,Route-9,(425.0 0.0 205.5),(625.0 0.0 0.0),352.0174,360.96,0.1719162,21.0,2.9028571428571417,17.18857,6.824,49.088,,,,,,,,
Truck-13,Route-13,(425.0 0.0 105.5),(375.0 0.0 150.0),366.3548,369.096,0.0413119,29.0,2.3826206896551727,12.72745,33.888,30.152,,,,,,,,
Truck-11,Route-11,(175.0 0.0 155.5),(125.0 0.0 100.0),366.3548,370.792,0.06687124,29.0,2.4411034482758613,12.78593,29.712,36.032,,,,,,,,
Truck-3,Route-3,(175.0 0.0 55.5),(125.0 0.0 150.0),369.9391,377.976,0.1149127,31.0,2.5153548387096776,12.19277,37.256,26.696,,,,,,,,
Truck-0,Route-0,(425.0 0.0 155.5),(125.0 0.0 0.0),373.5235,379.6,0.0826476,33.0,2.412121212121213,11.50303,30.128,38.416,,,,,,,,
Truck-7,Route-7,(425.0 0.0 -5.5),(375.0 0.0 150.0),366.3548,381.648,0.2304769,29.0,2.81544827586207,13.16028,40.976,35.592,,,,,,,,
Truck-14,Route-14,(675.0 0.0 55.5),(375.0 0.0 100.0),373.5235,381.72,0.1114819,33.0,2.476363636363637,11.56727,37.256,39.408,,,,,,,,
Truck-1,Route-1,(175.0 0.0 105.5),(125.0 0.0 50.0),373.5235,381.928,0.114311,33.0,2.482666666666667,11.57358,33.816,34.032,,,,,,,,
Truck-12,Route-12,(175.0 0.0 205.5),(375.0 0.0 50.0),373.5235,384.032,0.1429278,33.0,2.546424242424242,11.63733,6.824,72.104,,,,,,,,
Truck-10,Route-10,(175.0 0.0 -5.5),(125.0 0.0 150.0),366.3548,391.88,0.3846783,29.0,3.1682758620689655,13.5131,41.888,29.952,,,,,,,,
Truck-2,Route-2,(425.0 0.0 55.5),(375.0 0.0 0.0),380.6922,396.128,0.1912922,37.0,2.5980540540540535,10.70616,37.856,47.264,,,,,,,,
Truck-8,Route-8,(675.0 0.0 -5.5),(125.0 0.0 100.0),387.8609,408.152,0.2309458,41.0,2.637853658536585,9.954927,35.528,52.568,,,,,,,,
