Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(675.0 0.0 105.5),(625.0 0.0 50.0),437.36,58.344,73.064
Truck-101,Route-101,(675.0 0.0 55.5),(375.0 0.0 200.0),373.752,29.824,38.92
Truck-102,Route-102,(425.0 0.0 205.5),(375.0 0.0 50.0),352.432,7.024,40.4
Truck-103,Route-103,(425.0 0.0 55.5),(625.0 0.0 200.0),396.304,29.832,61.488
Truck-104,Route-104,(175.0 0.0 55.5),(625.0 0.0 100.0),412.648,38.272,69.368
Truck-105,Route-105,(675.0 0.0 155.5),(625.0 0.0 200.0),373.104,23.128,44.976
Truck-106,Route-106,(675.0 0.0 205.5),(625.0 0.0 150.0),347.752,7.024,35.688
Truck-107,Route-107,(175.0 0.0 105.5),(625.0 0.0 200.0),375.128,7.016,63.112
Truck-108,Route-108,(675.0 0.0 5.5),(375.0 0.0 200.0),350.8,7.024,38.776
Truck-109,Route-109,(425.0 0.0 155.5),(375.0 0.0 100.0),389.296,30.872,53.416
