Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 205.5),(625.0 0.0 100.0),353.008,8.52,39.448
Truck-1,Route-1,(425.0 0.0 -5.5),(375.0 0.0 200.0),368.712,16.832,46.896
Truck-2,Route-2,(175.0 0.0 55.5),(125.0 0.0 200.0),351.528,7.032,39.488
Truck-3,Route-3,(675.0 0.0 55.5),(125.0 0.0 200.0),366.448,7.016,54.408
Truck-4,Route-4,(675.0 0.0 105.5),(375.0 0.0 0.0),384.128,35.144,44
Truck-5,Route-5,(425.0 0.0 194.5),(125.0 0.0 100.0),374.792,16.848,52.912
Truck-6,Route-6,(175.0 0.0 194.5),(625.0 0.0 100.0),373.456,16.856,51.608
Truck-7,Route-7,(675.0 0.0 5.5),(375.0 0.0 200.0),353.72,7.024,41.664
Truck-8,Route-8,(175.0 0.0 105.5),(375.0 0.0 0.0),379.448,34.68,39.776
Truck-9,Route-9,(675.0 0.0 155.5),(625.0 0.0 200.0),342.128,7.024,30.112
Truck-10,Route-10,(425.0 0.0 55.5),(375.0 0.0 200.0),351.888,7.032,39.856
Truck-11,Route-11,(175.0 0.0 155.5),(125.0 0.0 200.0),342.008,7.024,30
Truck-12,Route-12,(425.0 0.0 155.5),(375.0 0.0 200.0),397.904,38.656,54.256
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),347.064,7.016,35.064
Truck-14,Route-14,(175.0 0.0 -5.5),(125.0 0.0 0.0),385.624,36.744,43.904
Truck-15,Route-15,(425.0 0.0 155.5),(625.0 0.0 0.0),375.168,30.448,39.712
Truck-16,Route-16,(425.0 0.0 -5.5),(125.0 0.0 0.0),404.144,37.368,61.768
Truck-17,Route-17,(425.0 0.0 194.5),(125.0 0.0 100.0),374.632,16.856,52.768
Truck-18,Route-18,(175.0 0.0 105.5),(375.0 0.0 150.0),384.12,34.504,44.624
Truck-19,Route-19,(175.0 0.0 155.5),(125.0 0.0 150.0),364.416,30.552,28.84
Truck-20,Route-20,(175.0 0.0 194.5),(375.0 0.0 150.0),350.784,16.84,28.968
Truck-21,Route-21,(175.0 0.0 -5.5),(625.0 0.0 50.0),397.104,52.848,39.272
Truck-22,Route-22,(425.0 0.0 55.5),(125.0 0.0 200.0),350.304,7.032,38.256
Truck-23,Route-23,(675.0 0.0 55.5),(625.0 0.0 150.0),373.408,39.12,29.296
Truck-24,Route-24,(425.0 0.0 105.5),(375.0 0.0 200.0),348.688,7.016,36.656
