Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 -5.5),(125.0 0.0 200.0),381.344,33.176,43.104
Truck-1,Route-1,(175.0 0.0 205.5),(125.0 0.0 50.0),353.36,6.952,41.344
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 200.0),356.696,6.936,44.688
Truck-3,Route-3,(675.0 0.0 55.5),(625.0 0.0 0.0),386.688,38.704,42.928
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 200.0),374.208,6.904,62.248
Truck-5,Route-5,(675.0 0.0 205.5),(375.0 0.0 100.0),343.696,6.856,31.848
Truck-6,Route-6,(675.0 0.0 105.5),(125.0 0.0 200.0),362.016,29.848,27.12
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 200.0),338.848,6.896,26.912
Truck-8,Route-8,(425.0 0.0 194.5),(125.0 0.0 0.0),382.352,16.472,60.816
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),351.288,6.912,39.352
Truck-10,Route-10,(175.0 0.0 155.5),(625.0 0.0 100.0),401.76,29.696,67.024
Truck-11,Route-11,(425.0 0.0 155.5),(375.0 0.0 200.0),338.624,6.888,26.664
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),362.24,6.888,50.304
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),343.216,6.96,31.248
Truck-14,Route-14,(425.0 0.0 55.5),(375.0 0.0 50.0),378.536,38.832,34.624
Truck-15,Route-15,(675.0 0.0 205.5),(625.0 0.0 0.0),349.352,6.92,37.408
Truck-16,Route-16,(675.0 0.0 55.5),(375.0 0.0 200.0),346.48,6.944,34.544
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 200.0),370.432,6.888,58.472
Truck-18,Route-18,(425.0 0.0 105.5),(625.0 0.0 100.0),387.096,35.352,46.68
Truck-19,Route-19,(175.0 0.0 194.5),(375.0 0.0 0.0),362.264,16.456,40.76
