Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 194.5),(375.0 0.0 0.0),364.544,16.472,43.016
Truck-101,Route-101,(675.0 0.0 55.5),(625.0 0.0 200.0),349.656,6.904,37.672
Truck-102,Route-102,(175.0 0.0 194.5),(125.0 0.0 100.0),357.04,16.536,35.52
Truck-103,Route-103,(675.0 0.0 -5.5),(625.0 0.0 0.0),383.528,36.288,42.128
Truck-104,Route-104,(425.0 0.0 55.5),(375.0 0.0 0.0),385.048,39.032,40.944
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),343.448,7.008,31.368
Truck-106,Route-106,(425.0 0.0 105.5),(375.0 0.0 200.0),345.272,7.016,33.128
Truck-107,Route-107,(675.0 0.0 205.5),(625.0 0.0 50.0),352.432,7.088,40.224
Truck-108,Route-108,(175.0 0.0 55.5),(375.0 0.0 200.0),362.488,6.992,50.408
Truck-109,Route-109,(675.0 0.0 155.5),(125.0 0.0 200.0),355.608,7.072,43.384
Truck-110,Route-110,(175.0 0.0 105.5),(625.0 0.0 100.0),423.44,34.368,83.976
Truck-111,Route-111,(425.0 0.0 -5.5),(375.0 0.0 50.0),381.344,37.096,39.152
Truck-112,Route-112,(175.0 0.0 5.5),(125.0 0.0 200.0),354.952,7.016,42.848
Truck-113,Route-113,(425.0 0.0 155.5),(375.0 0.0 50.0),372.544,29.968,37.488
Truck-114,Route-114,(175.0 0.0 155.5),(125.0 0.0 50.0),370.08,30.056,34.944
Truck-115,Route-115,(175.0 0.0 55.5),(125.0 0.0 100.0),376.192,37.904,33.216
Truck-116,Route-116,(425.0 0.0 155.5),(125.0 0.0 200.0),340.176,7.024,28.104
Truck-117,Route-117,(175.0 0.0 155.5),(125.0 0.0 150.0),362.456,30.264,27.112
Truck-118,Route-118,(425.0 0.0 55.5),(375.0 0.0 150.0),372.056,39.608,27.32
Truck-119,Route-119,(675.0 0.0 -5.5),(375.0 0.0 200.0),367.656,32.92,29.68
