Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 -5.5),(125.0 0.0 200.0),381.232,33,43.184
Truck-1,Route-1,(175.0 0.0 194.5),(375.0 0.0 0.0),362.344,16.44,40.952
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 200.0),371.448,6.912,59.464
Truck-3,Route-3,(675.0 0.0 55.5),(125.0 0.0 0.0),405.136,38.784,61.232
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 200.0),375.192,7.04,63.104
Truck-5,Route-5,(675.0 0.0 205.5),(625.0 0.0 0.0),355.08,6.936,43.128
Truck-6,Route-6,(675.0 0.0 105.5),(375.0 0.0 200.0),365.28,31.512,28.68
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 200.0),339.768,7.192,27.528
Truck-8,Route-8,(425.0 0.0 194.5),(375.0 0.0 100.0),357.24,16.496,35.72
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),350.808,7.112,38.656
Truck-10,Route-10,(175.0 0.0 155.5),(125.0 0.0 50.0),372.296,29.96,37.344
Truck-11,Route-11,(425.0 0.0 155.5),(125.0 0.0 200.0),339.552,7.072,27.352
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),362.392,6.976,50.32
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),344.328,7.144,31.984
Truck-14,Route-14,(425.0 0.0 55.5),(625.0 0.0 100.0),392.784,39.704,47.92
Truck-15,Route-15,(675.0 0.0 205.5),(625.0 0.0 0.0),354.08,6.992,42.032
Truck-16,Route-16,(675.0 0.0 55.5),(375.0 0.0 200.0),347.128,7.072,35.032
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 200.0),375.496,6.968,63.392
Truck-18,Route-18,(425.0 0.0 105.5),(375.0 0.0 50.0),377.528,36.512,35.976
Truck-19,Route-19,(175.0 0.0 205.5),(625.0 0.0 100.0),380.896,7.04,68.768
