Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 194.5),(625.0 0.0 50.0),364.288,16.6,42.592
Truck-101,Route-101,(675.0 0.0 55.5),(625.0 0.0 200.0),347.744,6.944,35.752
Truck-102,Route-102,(175.0 0.0 194.5),(375.0 0.0 0.0),362.32,16.48,40.784
Truck-103,Route-103,(675.0 0.0 -5.5),(375.0 0.0 50.0),375.672,35.736,34.872
Truck-104,Route-104,(425.0 0.0 55.5),(375.0 0.0 50.0),378.304,38.904,34.344
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),343.896,6.832,31.984
Truck-106,Route-106,(425.0 0.0 105.5),(375.0 0.0 200.0),344.088,6.952,32.088
Truck-107,Route-107,(675.0 0.0 205.5),(375.0 0.0 0.0),350.12,6.92,38.168
Truck-108,Route-108,(175.0 0.0 55.5),(375.0 0.0 200.0),361.624,6.928,49.64
Truck-109,Route-109,(675.0 0.0 155.5),(125.0 0.0 200.0),354.968,6.904,43.056
Truck-110,Route-110,(175.0 0.0 105.5),(625.0 0.0 100.0),401.48,33.392,63.072
Truck-111,Route-111,(425.0 0.0 -5.5),(625.0 0.0 0.0),378.888,36.584,37.28
Truck-112,Route-112,(175.0 0.0 5.5),(125.0 0.0 200.0),350.224,6.888,38.328
Truck-113,Route-113,(425.0 0.0 155.5),(125.0 0.0 100.0),370.352,29.792,35.456
Truck-114,Route-114,(175.0 0.0 155.5),(125.0 0.0 150.0),361.552,29.744,26.744
Truck-115,Route-115,(175.0 0.0 55.5),(125.0 0.0 100.0),373.512,36.944,31.504
Truck-116,Route-116,(425.0 0.0 155.5),(125.0 0.0 200.0),339.312,6.928,27.296
Truck-117,Route-117,(175.0 0.0 155.5),(125.0 0.0 50.0),369.288,30.096,34.112
Truck-118,Route-118,(425.0 0.0 55.5),(375.0 0.0 150.0),371.744,39.408,27.248
Truck-119,Route-119,(675.0 0.0 -5.5),(375.0 0.0 200.0),365.432,32.848,27.512
