Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.264,32.616,42.56
Truck-1,Route-1,(175.0 0.0 205.5),(125.0 0.0 50.0),350.592,6.912,38.616
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 200.0),355.208,6.896,43.288
Truck-3,Route-3,(675.0 0.0 55.5),(125.0 0.0 0.0),406.904,41.2,60.648
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 200.0),374.856,6.928,62.896
Truck-5,Route-5,(675.0 0.0 205.5),(375.0 0.0 100.0),343.272,6.88,31.328
Truck-6,Route-6,(675.0 0.0 105.5),(375.0 0.0 200.0),361.92,30,26.88
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 200.0),339.664,6.984,27.68
Truck-8,Route-8,(425.0 0.0 194.5),(625.0 0.0 0.0),359.4,16.52,37.832
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),350.728,6.896,38.744
Truck-10,Route-10,(175.0 0.0 155.5),(625.0 0.0 100.0),398.024,29.784,63.176
Truck-11,Route-11,(425.0 0.0 155.5),(125.0 0.0 200.0),338.8,6.96,26.792
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),367.552,6.88,55.592
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),343.064,6.904,31.128
Truck-14,Route-14,(425.0 0.0 55.5),(375.0 0.0 50.0),378.864,38.736,35.096
Truck-15,Route-15,(675.0 0.0 205.5),(625.0 0.0 0.0),354.904,6.928,42.92
Truck-16,Route-16,(675.0 0.0 55.5),(375.0 0.0 200.0),346.672,6.928,34.632
Truck-17,Route-17,(175.0 0.0 155.5),(625.0 0.0 200.0),370.992,6.872,59.024
Truck-18,Route-18,(425.0 0.0 105.5),(625.0 0.0 100.0),387.88,35.28,47.464
Truck-19,Route-19,(175.0 0.0 194.5),(375.0 0.0 0.0),362.368,16.464,40.896
