Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 200.0),339.768,6.808,27.848
Truck-11,Route-11,(425.0 0.0 155.5),(375.0 0.0 200.0),342.48,6.808,30.592
Truck-16,Route-16,(675.0 0.0 55.5),(375.0 0.0 200.0),350.28,9.28,36.064
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 200.0),356.12,6.808,44.216
Truck-9,Route-9,(175.0 0.0 5.5),(125.0 0.0 200.0),363.6,6.808,51.736
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 200.0),364.68,6.816,52.784
Truck-15,Route-15,(675.0 0.0 205.5),(625.0 0.0 0.0),365.52,9.456,44.952
Truck-8,Route-8,(425.0 0.0 194.5),(625.0 0.0 0.0),367.976,16.36,40.496
Truck-1,Route-1,(175.0 0.0 194.5),(375.0 0.0 0.0),368.776,16.368,47.272
Truck-5,Route-5,(675.0 0.0 205.5),(125.0 0.0 0.0),372.336,6.816,60.448
Truck-6,Route-6,(675.0 0.0 105.5),(375.0 0.0 100.0),379.584,35.56,38.928
Truck-17,Route-17,(175.0 0.0 155.5),(125.0 0.0 50.0),383.536,35.304,43.152
Truck-3,Route-3,(675.0 0.0 55.5),(125.0 0.0 200.0),383.544,34.44,44.04
Truck-19,Route-19,(175.0 0.0 205.5),(625.0 0.0 100.0),385.408,6.8,73.536
Truck-10,Route-10,(175.0 0.0 155.5),(625.0 0.0 200.0),387.32,6.808,75.44
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),388.848,6.808,76.968
Truck-4,Route-4,(175.0 0.0 105.5),(625.0 0.0 200.0),394.176,6.816,82.272
Truck-14,Route-14,(425.0 0.0 55.5),(375.0 0.0 50.0),395.816,44.048,40.704
Truck-0,Route-0,(675.0 0.0 -5.5),(125.0 0.0 200.0),399.04,32.824,61.08
Truck-18,Route-18,(425.0 0.0 105.5),(625.0 0.0 100.0),404.424,40.504,52.832
Truck-105,Route-105,(675.0 0.0 105.5),(625.0 0.0 200.0),345.024,7.032,32.984
Truck-116,Route-116,(425.0 0.0 155.5),(125.0 0.0 200.0),345.992,9.424,31.512
Truck-106,Route-106,(425.0 0.0 105.5),(375.0 0.0 200.0),350.008,7.032,37.968
Truck-101,Route-101,(675.0 0.0 55.5),(625.0 0.0 200.0),352.44,7.04,40.392
Truck-100,Route-100,(425.0 0.0 205.5),(125.0 0.0 100.0),353.176,7.04,41.12
Truck-107,Route-107,(675.0 0.0 205.5),(375.0 0.0 0.0),353.664,7.032,41.608
Truck-109,Route-109,(675.0 0.0 155.5),(125.0 0.0 200.0),357.256,7.032,45.224
Truck-102,Route-102,(175.0 0.0 205.5),(125.0 0.0 50.0),364.2,7.032,52.136
Truck-108,Route-108,(175.0 0.0 55.5),(375.0 0.0 200.0),367.312,7.032,55.272
Truck-119,Route-119,(675.0 0.0 -5.5),(375.0 0.0 200.0),369.28,36.84,27.392
Truck-113,Route-113,(425.0 0.0 155.5),(375.0 0.0 50.0),376.936,35.072,36.808
Truck-117,Route-117,(175.0 0.0 155.5),(125.0 0.0 100.0),382.32,40.736,33.56
Truck-103,Route-103,(675.0 0.0 -5.5),(625.0 0.0 0.0),385.272,35.96,44.272
Truck-110,Route-110,(175.0 0.0 105.5),(125.0 0.0 150.0),386.8,45.936,26.768
Truck-115,Route-115,(175.0 0.0 55.5),(125.0 0.0 200.0),389.28,41.944,42.288
Truck-104,Route-104,(425.0 0.0 55.5),(375.0 0.0 150.0),390.064,54.36,30.632
Truck-111,Route-111,(425.0 0.0 -5.5),(375.0 0.0 50.0),392.192,48.144,38.936
Truck-112,Route-112,(175.0 0.0 -5.5),(625.0 0.0 50.0),409.104,67.136,36.88
Truck-118,Route-118,(425.0 0.0 55.5),(375.0 0.0 0.0),411.6,62.32,41.232
Truck-114,Route-114,(175.0 0.0 155.5),(625.0 0.0 100.0),414.496,33.032,76.408
