Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(175.0 0.0 5.5),(625.0 0.0 200.0),371.008,6.968,59.008
Truck-101,Route-101,(675.0 0.0 55.5),(125.0 0.0 50.0),378.264,37.456,35.76
Truck-102,Route-102,(175.0 0.0 205.5),(625.0 0.0 0.0),370.024,6.944,57.992
Truck-103,Route-103,(425.0 0.0 105.5),(125.0 0.0 200.0),347.112,6.912,35.176
Truck-104,Route-104,(675.0 0.0 105.5),(125.0 0.0 150.0),370.856,36.112,29.672
Truck-105,Route-105,(675.0 0.0 -5.5),(125.0 0.0 100.0),389.352,35.752,48.528
Truck-106,Route-106,(425.0 0.0 55.5),(125.0 0.0 200.0),346.952,6.96,34.88
Truck-107,Route-107,(675.0 0.0 205.5),(625.0 0.0 50.0),352,6.968,40
Truck-108,Route-108,(425.0 0.0 205.5),(375.0 0.0 100.0),348.448,6.952,36.432
Truck-109,Route-109,(175.0 0.0 155.5),(375.0 0.0 200.0),357.32,6.864,45.384
Truck-110,Route-110,(425.0 0.0 5.5),(625.0 0.0 200.0),355.376,6.896,43.464
Truck-111,Route-111,(175.0 0.0 105.5),(375.0 0.0 200.0),358.376,6.864,46.408
Truck-112,Route-112,(175.0 0.0 55.5),(625.0 0.0 150.0),400.44,36.88,58.504
Truck-113,Route-113,(675.0 0.0 155.5),(375.0 0.0 200.0),340.488,6.864,28.584
Truck-114,Route-114,(425.0 0.0 155.5),(375.0 0.0 0.0),376.04,30.136,40.888
Truck-115,Route-115,(425.0 0.0 -5.5),(625.0 0.0 200.0),365.256,16.544,43.632
Truck-116,Route-116,(425.0 0.0 55.5),(125.0 0.0 50.0),383.184,37.896,40.24
Truck-117,Route-117,(675.0 0.0 155.5),(625.0 0.0 100.0),386.304,29.984,51.264
Truck-118,Route-118,(175.0 0.0 55.5),(375.0 0.0 150.0),384.168,36.904,42.248
Truck-119,Route-119,(675.0 0.0 55.5),(625.0 0.0 50.0),380.112,38.88,35.304
Truck-120,Route-120,(425.0 0.0 105.5),(375.0 0.0 200.0),345.464,6.992,33.384
Truck-121,Route-121,(175.0 0.0 5.5),(625.0 0.0 200.0),372.776,6.864,60.816
Truck-122,Route-122,(675.0 0.0 -5.5),(375.0 0.0 50.0),375.352,35.8,34.512
Truck-123,Route-123,(175.0 0.0 155.5),(375.0 0.0 150.0),377.632,29.936,42.64
Truck-124,Route-124,(675.0 0.0 105.5),(375.0 0.0 200.0),343.256,6.896,31.304
