Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-4,Route-4,(675.0 0.0 155.5),(375.0 0.0 200.0),340.736,6.768,28.816
Truck-5,Route-5,(425.0 0.0 155.5),(375.0 0.0 200.0),340.776,6.768,28.928
Truck-22,Route-22,(175.0 0.0 155.5),(125.0 0.0 200.0),341.52,9.208,27.168
Truck-24,Route-24,(175.0 0.0 205.5),(125.0 0.0 150.0),344.088,6.76,32.248
Truck-10,Route-10,(675.0 0.0 55.5),(625.0 0.0 200.0),348.64,6.768,36.784
Truck-8,Route-8,(175.0 0.0 55.5),(125.0 0.0 200.0),352.488,6.768,40.624
Truck-11,Route-11,(675.0 0.0 205.5),(375.0 0.0 50.0),353.216,6.768,41.328
Truck-23,Route-23,(425.0 0.0 5.5),(375.0 0.0 200.0),356.68,6.76,44.832
Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),361.576,16.456,40.048
Truck-3,Route-3,(175.0 0.0 194.5),(375.0 0.0 50.0),362.104,16.456,40.584
Truck-15,Route-15,(425.0 0.0 194.5),(375.0 0.0 150.0),364.008,21.352,34.592
Truck-17,Route-17,(675.0 0.0 55.5),(375.0 0.0 200.0),364.936,9.44,44.416
Truck-9,Route-9,(675.0 0.0 105.5),(125.0 0.0 200.0),365.584,6.768,53.696
Truck-1,Route-1,(175.0 0.0 5.5),(125.0 0.0 200.0),365.792,6.776,53.896
Truck-0,Route-0,(425.0 0.0 55.5),(125.0 0.0 200.0),368.376,29.984,33.208
Truck-6,Route-6,(675.0 0.0 -5.5),(625.0 0.0 200.0),368.864,32.344,31.392
Truck-13,Route-13,(425.0 0.0 105.5),(625.0 0.0 200.0),373.96,6.76,62.088
Truck-21,Route-21,(675.0 0.0 5.5),(375.0 0.0 200.0),379.128,6.76,67.232
Truck-7,Route-7,(175.0 0.0 105.5),(625.0 0.0 200.0),386.536,6.768,74.68
Truck-14,Route-14,(175.0 0.0 155.5),(375.0 0.0 0.0),397.376,29.872,62.464
Truck-20,Route-20,(675.0 0.0 105.5),(125.0 0.0 200.0),398.16,9.44,77.648
Truck-12,Route-12,(425.0 0.0 -5.5),(625.0 0.0 200.0),398.16,28.872,64.256
Truck-18,Route-18,(425.0 0.0 155.5),(125.0 0.0 50.0),398.536,35.024,55.448
Truck-16,Route-16,(175.0 0.0 105.5),(625.0 0.0 200.0),403.416,9.448,82.848
Truck-19,Route-19,(425.0 0.0 55.5),(125.0 0.0 0.0),409.88,45.72,53.112
Truck-119,Route-119,(425.0 0.0 205.5),(125.0 0.0 150.0),338.88,7.032,26.824
Truck-114,Route-114,(175.0 0.0 155.5),(125.0 0.0 200.0),340.176,7.032,28.12
Truck-108,Route-108,(175.0 0.0 105.5),(125.0 0.0 200.0),343.416,7.04,31.352
Truck-100,Route-100,(675.0 0.0 205.5),(375.0 0.0 0.0),349.792,7.048,37.696
Truck-105,Route-105,(425.0 0.0 105.5),(375.0 0.0 200.0),350.128,7.04,38.032
Truck-118,Route-118,(675.0 0.0 205.5),(625.0 0.0 100.0),351.072,9.52,36.504
Truck-110,Route-110,(675.0 0.0 55.5),(375.0 0.0 200.0),351.256,7.04,39.184
Truck-104,Route-104,(425.0 0.0 194.5),(625.0 0.0 150.0),352.712,16.608,31.04
Truck-121,Route-121,(425.0 0.0 105.5),(375.0 0.0 200.0),355.976,9.632,41.288
Truck-101,Route-101,(675.0 0.0 155.5),(125.0 0.0 200.0),360.712,7.048,48.64
Truck-103,Route-103,(425.0 0.0 155.5),(625.0 0.0 200.0),360.792,7.048,48.744
Truck-102,Route-102,(425.0 0.0 -5.5),(625.0 0.0 200.0),365.064,16.608,43.4
Truck-106,Route-106,(425.0 0.0 55.5),(125.0 0.0 200.0),366.08,7.04,54
Truck-109,Route-109,(175.0 0.0 194.5),(125.0 0.0 50.0),374.368,16.6,52.696
Truck-115,Route-115,(175.0 0.0 -5.5),(625.0 0.0 200.0),375.544,21.664,45.8
Truck-111,Route-111,(675.0 0.0 105.5),(125.0 0.0 200.0),376.504,7.04,64.408
Truck-107,Route-107,(175.0 0.0 55.5),(125.0 0.0 200.0),378.76,32.336,41.392
Truck-124,Route-124,(425.0 0.0 -5.5),(375.0 0.0 200.0),383.96,21.672,57.184
Truck-113,Route-113,(175.0 0.0 -5.5),(375.0 0.0 200.0),384.28,16.6,62.6
Truck-122,Route-122,(675.0 0.0 105.5),(375.0 0.0 150.0),384.752,46.848,32.824
Truck-117,Route-117,(175.0 0.0 194.5),(625.0 0.0 50.0),392.936,21.664,63.16
Truck-116,Route-116,(175.0 0.0 105.5),(125.0 0.0 50.0),394.288,49.392,39.832
Truck-123,Route-123,(175.0 0.0 55.5),(375.0 0.0 200.0),396.16,37.288,50.712
Truck-112,Route-112,(675.0 0.0 -5.5),(125.0 0.0 100.0),398.736,36.056,57.592
Truck-120,Route-120,(175.0 0.0 155.5),(375.0 0.0 50.0),402.928,37.488,57.384
