Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(175.0 0.0 55.5),(125.0 0.0 200.0),349.288,6.896,37.312
Truck-101,Route-101,(425.0 0.0 -5.5),(125.0 0.0 100.0),372.888,35.576,32.184
Truck-102,Route-102,(175.0 0.0 205.5),(375.0 0.0 150.0),361.16,6.952,49.12
Truck-103,Route-103,(675.0 0.0 55.5),(125.0 0.0 200.0),366.6,7.008,54.56
Truck-104,Route-104,(675.0 0.0 105.5),(125.0 0.0 150.0),385.856,35.104,45.656
Truck-105,Route-105,(675.0 0.0 155.5),(625.0 0.0 200.0),341.28,6.904,29.224
Truck-106,Route-106,(675.0 0.0 -5.5),(125.0 0.0 200.0),380.704,32.824,42.784
Truck-107,Route-107,(175.0 0.0 155.5),(625.0 0.0 200.0),370.48,6.992,58.408
Truck-108,Route-108,(175.0 0.0 105.5),(375.0 0.0 100.0),385.568,33.944,46.6
Truck-109,Route-109,(425.0 0.0 55.5),(375.0 0.0 200.0),347.424,6.944,35.408
Truck-110,Route-110,(675.0 0.0 205.5),(625.0 0.0 100.0),349.672,6.96,37.672
Truck-111,Route-111,(425.0 0.0 155.5),(125.0 0.0 200.0),341.712,7.008,29.656
Truck-112,Route-112,(425.0 0.0 105.5),(125.0 0.0 100.0),375.136,34.672,35.44
Truck-113,Route-113,(175.0 0.0 5.5),(375.0 0.0 200.0),356.96,6.912,45.04
Truck-114,Route-114,(425.0 0.0 205.5),(375.0 0.0 100.0),347.88,6.96,35.84
Truck-115,Route-115,(675.0 0.0 55.5),(625.0 0.0 200.0),347.512,6.936,35.552
Truck-116,Route-116,(675.0 0.0 105.5),(375.0 0.0 0.0),381.976,35.096,41.864
Truck-117,Route-117,(175.0 0.0 205.5),(625.0 0.0 0.0),370.312,7.008,58.224
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),338.976,6.928,26.944
Truck-119,Route-119,(175.0 0.0 5.5),(375.0 0.0 200.0),355.856,6.944,43.912
Truck-120,Route-120,(425.0 0.0 105.5),(375.0 0.0 50.0),372.76,33.232,34.48
Truck-121,Route-121,(675.0 0.0 5.5),(375.0 0.0 200.0),350.272,6.888,38.296
Truck-122,Route-122,(175.0 0.0 55.5),(375.0 0.0 200.0),376.632,6.88,64.696
Truck-123,Route-123,(175.0 0.0 105.5),(375.0 0.0 0.0),377.304,34.432,37.776
Truck-124,Route-124,(425.0 0.0 -5.5),(625.0 0.0 100.0),374.656,36.96,32.672
