Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-7,Route-7,(175.0 0.0 155.5),(125.0 0.0 200.0),338.584,6.792,26.736
Truck-10,Route-10,(675.0 0.0 155.5),(375.0 0.0 200.0),341.016,6.784,29.184
Truck-0,Route-0,(425.0 0.0 105.5),(375.0 0.0 200.0),343.792,6.8,31.928
Truck-22,Route-22,(175.0 0.0 105.5),(125.0 0.0 200.0),345.712,9.248,31.36
Truck-12,Route-12,(425.0 0.0 205.5),(375.0 0.0 50.0),351.048,6.784,39.192
Truck-9,Route-9,(175.0 0.0 205.5),(125.0 0.0 50.0),358.728,6.784,46.888
Truck-2,Route-2,(175.0 0.0 5.5),(375.0 0.0 200.0),360.016,6.792,48.144
Truck-16,Route-16,(675.0 0.0 155.5),(625.0 0.0 200.0),369.328,9.336,45.888
Truck-17,Route-17,(175.0 0.0 205.5),(125.0 0.0 0.0),372.352,9.336,48.896
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 200.0),374.432,6.792,62.584
Truck-11,Route-11,(675.0 0.0 55.5),(125.0 0.0 200.0),374.976,6.784,63.12
Truck-13,Route-13,(425.0 0.0 5.5),(625.0 0.0 200.0),378.408,6.784,66.536
Truck-15,Route-15,(425.0 0.0 155.5),(625.0 0.0 200.0),383.504,9.344,63.104
Truck-21,Route-21,(425.0 0.0 205.5),(625.0 0.0 100.0),384.08,9.336,63.696
Truck-4,Route-4,(675.0 0.0 5.5),(125.0 0.0 200.0),384.192,6.792,72.36
Truck-24,Route-24,(675.0 0.0 205.5),(125.0 0.0 100.0),385.392,9.248,65.048
Truck-18,Route-18,(675.0 0.0 5.5),(375.0 0.0 200.0),388.64,9.344,74.256
Truck-14,Route-14,(675.0 0.0 205.5),(625.0 0.0 100.0),392.704,22.544,65.096
Truck-3,Route-3,(425.0 0.0 55.5),(125.0 0.0 200.0),394.488,30.824,58.584
Truck-1,Route-1,(675.0 0.0 105.5),(125.0 0.0 50.0),395.592,34.368,50.168
Truck-20,Route-20,(425.0 0.0 55.5),(625.0 0.0 200.0),396.704,9.256,76.368
Truck-6,Route-6,(175.0 0.0 105.5),(375.0 0.0 100.0),403.424,33.8,64.56
Truck-23,Route-23,(175.0 0.0 155.5),(625.0 0.0 200.0),404.92,9.336,84.528
Truck-19,Route-19,(425.0 0.0 105.5),(625.0 0.0 200.0),415.288,35.368,74.84
Truck-8,Route-8,(175.0 0.0 55.5),(625.0 0.0 50.0),448.744,36.696,106.952
Truck-105,Route-105,(675.0 0.0 155.5),(625.0 0.0 200.0),340.416,7.048,28.32
Truck-111,Route-111,(425.0 0.0 155.5),(125.0 0.0 200.0),340.912,7.04,28.824
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),344.448,9.536,29.896
Truck-109,Route-109,(425.0 0.0 55.5),(375.0 0.0 200.0),345.024,7.04,32.912
Truck-100,Route-100,(175.0 0.0 55.5),(125.0 0.0 200.0),346.216,7.048,34.08
Truck-114,Route-114,(425.0 0.0 205.5),(375.0 0.0 100.0),347.264,7.04,35.192
Truck-110,Route-110,(675.0 0.0 205.5),(625.0 0.0 100.0),351.936,7.04,39.84
Truck-115,Route-115,(675.0 0.0 55.5),(625.0 0.0 200.0),353.032,9.536,38.448
Truck-113,Route-113,(175.0 0.0 5.5),(375.0 0.0 200.0),354.208,7.04,42.104
Truck-103,Route-103,(675.0 0.0 55.5),(125.0 0.0 200.0),364.608,7.048,52.48
Truck-119,Route-119,(175.0 0.0 5.5),(375.0 0.0 200.0),373.416,9.528,52.824
Truck-102,Route-102,(175.0 0.0 205.5),(375.0 0.0 150.0),377.856,7.048,65.744
Truck-104,Route-104,(675.0 0.0 105.5),(125.0 0.0 100.0),380,40.08,34.896
Truck-122,Route-122,(175.0 0.0 55.5),(375.0 0.0 200.0),385.608,9.544,71.024
Truck-101,Route-101,(425.0 0.0 -5.5),(375.0 0.0 200.0),387.112,16.568,65.456
Truck-123,Route-123,(175.0 0.0 105.5),(375.0 0.0 0.0),397.544,46.04,43.456
Truck-124,Route-124,(425.0 0.0 -5.5),(625.0 0.0 100.0),398.136,56.304,36.76
Truck-107,Route-107,(175.0 0.0 155.5),(625.0 0.0 200.0),398.984,7.04,86.88
Truck-112,Route-112,(425.0 0.0 105.5),(125.0 0.0 100.0),402.912,53.28,35.6
Truck-120,Route-120,(425.0 0.0 105.5),(375.0 0.0 50.0),402.912,44.928,52.936
Truck-106,Route-106,(675.0 0.0 -5.5),(375.0 0.0 0.0),403.16,35.736,62.352
Truck-121,Route-121,(675.0 0.0 -5.5),(125.0 0.0 200.0),413.064,36.704,71.288
Truck-116,Route-116,(675.0 0.0 105.5),(125.0 0.0 150.0),413.904,49.264,59.592
Truck-108,Route-108,(175.0 0.0 105.5),(375.0 0.0 100.0),415.384,43.176,67.152
Truck-117,Route-117,(175.0 0.0 205.5),(625.0 0.0 0.0),422.144,9.536,101.576
