Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(175.0 0.0 55.5),(125.0 0.0 200.0),348.704,6.952,36.688
Truck-101,Route-101,(425.0 0.0 -5.5),(375.0 0.0 0.0),382.728,35.392,42.144
Truck-102,Route-102,(175.0 0.0 205.5),(375.0 0.0 150.0),359.136,7.024,47.016
Truck-103,Route-103,(675.0 0.0 55.5),(125.0 0.0 200.0),362.96,6.976,50.904
Truck-104,Route-104,(675.0 0.0 105.5),(125.0 0.0 100.0),374.672,34.504,35.136
Truck-105,Route-105,(675.0 0.0 155.5),(625.0 0.0 200.0),339.648,6.888,27.728
Truck-106,Route-106,(675.0 0.0 -5.5),(125.0 0.0 200.0),383.664,32.872,45.776
Truck-107,Route-107,(175.0 0.0 155.5),(625.0 0.0 200.0),377.576,6.976,65.528
Truck-108,Route-108,(175.0 0.0 105.5),(375.0 0.0 100.0),388.808,35.528,48.248
Truck-109,Route-109,(425.0 0.0 55.5),(375.0 0.0 200.0),347.384,6.864,35.408
Truck-110,Route-110,(675.0 0.0 205.5),(625.0 0.0 100.0),349.272,7.088,37.168
Truck-111,Route-111,(425.0 0.0 155.5),(125.0 0.0 200.0),339.32,6.928,27.264
Truck-112,Route-112,(425.0 0.0 105.5),(125.0 0.0 100.0),388.824,52.952,30.768
Truck-113,Route-113,(175.0 0.0 5.5),(375.0 0.0 200.0),355.704,6.968,43.704
Truck-114,Route-114,(425.0 0.0 205.5),(375.0 0.0 100.0),347.168,6.96,35.112
Truck-115,Route-115,(675.0 0.0 55.5),(625.0 0.0 200.0),347.112,6.952,35.12
Truck-116,Route-116,(675.0 0.0 105.5),(125.0 0.0 150.0),386.632,35.888,45.656
Truck-117,Route-117,(175.0 0.0 205.5),(625.0 0.0 0.0),373.2,6.96,61.176
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 200.0),338.88,6.896,26.96
Truck-119,Route-119,(175.0 0.0 5.5),(375.0 0.0 200.0),356.992,6.88,45.032
Truck-120,Route-120,(425.0 0.0 105.5),(375.0 0.0 50.0),375.184,35.616,34.48
Truck-121,Route-121,(675.0 0.0 5.5),(375.0 0.0 200.0),349.936,6.992,37.88
Truck-122,Route-122,(175.0 0.0 55.5),(375.0 0.0 200.0),362.512,7.008,50.4
Truck-123,Route-123,(175.0 0.0 105.5),(375.0 0.0 0.0),379.56,33.8,40.688
Truck-124,Route-124,(425.0 0.0 -5.5),(625.0 0.0 100.0),373.224,36.664,31.512
