Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 155.5),(625.0 0.0 200.0),385.912,22.816,58.072
Truck-101,Route-101,(675.0 0.0 55.5),(125.0 0.0 200.0),374.464,29.368,40.04
Truck-102,Route-102,(675.0 0.0 5.5),(125.0 0.0 200.0),370.984,6.84,59.088
Truck-103,Route-103,(175.0 0.0 55.5),(625.0 0.0 200.0),391.624,30.928,55.656
Truck-104,Route-104,(675.0 0.0 105.5),(625.0 0.0 200.0),344.664,6.96,32.624
Truck-105,Route-105,(175.0 0.0 105.5),(375.0 0.0 200.0),360.144,6.92,48.128
Truck-106,Route-106,(175.0 0.0 205.5),(625.0 0.0 150.0),378.664,6.96,66.664
Truck-107,Route-107,(425.0 0.0 5.5),(125.0 0.0 200.0),349.496,6.912,37.584
Truck-108,Route-108,(425.0 0.0 55.5),(625.0 0.0 200.0),366.616,6.888,54.648
Truck-109,Route-109,(425.0 0.0 205.5),(375.0 0.0 50.0),351.04,6.92,39.024
Truck-110,Route-110,(675.0 0.0 155.5),(375.0 0.0 200.0),339.472,6.928,27.44
Truck-111,Route-111,(425.0 0.0 105.5),(125.0 0.0 100.0),376.552,35.52,36.008
Truck-112,Route-112,(675.0 0.0 205.5),(625.0 0.0 100.0),347.992,6.944,35.992
Truck-113,Route-113,(175.0 0.0 155.5),(625.0 0.0 200.0),370.312,6.912,58.368
Truck-114,Route-114,(175.0 0.0 5.5),(125.0 0.0 200.0),350.592,6.952,38.648
Truck-115,Route-115,(425.0 0.0 155.5),(375.0 0.0 200.0),338.44,6.936,26.472
Truck-116,Route-116,(175.0 0.0 205.5),(375.0 0.0 100.0),362.848,6.848,50.912
Truck-117,Route-117,(675.0 0.0 155.5),(125.0 0.0 50.0),369.96,29.92,34.92
Truck-118,Route-118,(675.0 0.0 5.5),(375.0 0.0 200.0),351.44,6.92,39.44
Truck-119,Route-119,(175.0 0.0 105.5),(625.0 0.0 50.0),406.552,34.472,67.032
Truck-120,Route-120,(675.0 0.0 205.5),(375.0 0.0 150.0),338.488,6.92,26.488
Truck-121,Route-121,(675.0 0.0 105.5),(375.0 0.0 200.0),343.32,6.888,31.44
Truck-122,Route-122,(425.0 0.0 205.5),(375.0 0.0 100.0),349.952,6.928,37.936
Truck-123,Route-123,(175.0 0.0 55.5),(625.0 0.0 200.0),380.456,6.912,68.472
Truck-124,Route-124,(675.0 0.0 55.5),(125.0 0.0 200.0),363.688,6.912,51.672
