Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(425.0 0.0 55.5),(625.0 0.0 200.0),399.168,29.872,64.264
Truck-1,Route-1,(175.0 0.0 5.5),(125.0 0.0 200.0),354.032,6.896,42.12
Truck-2,Route-2,(425.0 0.0 194.5),(625.0 0.0 0.0),360.304,16.472,38.776
Truck-3,Route-3,(175.0 0.0 194.5),(125.0 0.0 0.0),363.152,16.552,41.496
Truck-4,Route-4,(675.0 0.0 155.5),(375.0 0.0 200.0),338.672,6.872,26.784
Truck-5,Route-5,(425.0 0.0 155.5),(375.0 0.0 200.0),339.544,6.904,27.584
Truck-6,Route-6,(675.0 0.0 5.5),(375.0 0.0 200.0),350.8,6.928,38.808
Truck-7,Route-7,(175.0 0.0 105.5),(625.0 0.0 200.0),386.808,6.864,74.896
Truck-8,Route-8,(175.0 0.0 55.5),(125.0 0.0 200.0),346.08,6.912,34.112
Truck-9,Route-9,(675.0 0.0 105.5),(125.0 0.0 200.0),359.312,6.888,47.352
Truck-10,Route-10,(675.0 0.0 55.5),(375.0 0.0 200.0),347.36,6.936,35.176
Truck-11,Route-11,(675.0 0.0 205.5),(375.0 0.0 50.0),367.68,6.888,55.48
Truck-12,Route-12,(425.0 0.0 5.5),(375.0 0.0 200.0),359.552,7.12,47.384
Truck-13,Route-13,(425.0 0.0 105.5),(625.0 0.0 200.0),363.872,7.04,51.576
Truck-14,Route-14,(175.0 0.0 155.5),(125.0 0.0 200.0),339.32,6.912,27.184
Truck-15,Route-15,(425.0 0.0 194.5),(375.0 0.0 150.0),353.936,16.456,30.864
Truck-16,Route-16,(175.0 0.0 105.5),(125.0 0.0 200.0),346.896,7.416,31.744
Truck-17,Route-17,(675.0 0.0 55.5),(625.0 0.0 200.0),353.576,7.344,40.256
Truck-18,Route-18,(425.0 0.0 155.5),(125.0 0.0 50.0),378.248,31.568,41.08
Truck-19,Route-19,(425.0 0.0 55.5),(375.0 0.0 50.0),417.976,41.632,71.4
Truck-20,Route-20,(675.0 0.0 105.5),(125.0 0.0 200.0),368.96,6.864,57.048
Truck-21,Route-21,(675.0 0.0 -5.5),(625.0 0.0 200.0),364.96,32.552,27.368
Truck-22,Route-22,(175.0 0.0 155.5),(375.0 0.0 0.0),371.704,29.912,36.704
Truck-23,Route-23,(425.0 0.0 -5.5),(625.0 0.0 200.0),382.256,29.176,48.064
Truck-24,Route-24,(175.0 0.0 205.5),(125.0 0.0 150.0),342.712,6.896,30.776
