Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(675.0 0.0 155.5),(375.0 0.0 200.0),339,6.928,27.04
Truck-12,Route-12,(175.0 0.0 105.5),(125.0 0.0 200.0),342.808,6.904,30.816
Truck-15,Route-15,(175.0 0.0 155.5),(125.0 0.0 200.0),345.4,9.136,25.208
Truck-6,Route-6,(425.0 0.0 105.5),(125.0 0.0 200.0),346.08,6.912,34.112
Truck-2,Route-2,(675.0 0.0 105.5),(375.0 0.0 200.0),348.736,6.92,36.824
Truck-8,Route-8,(425.0 0.0 55.5),(125.0 0.0 200.0),351.424,6.912,39.44
Truck-9,Route-9,(175.0 0.0 -5.5),(125.0 0.0 200.0),365.848,16.224,44.576
Truck-22,Route-22,(675.0 0.0 155.5),(625.0 0.0 200.0),366.704,9.232,46.408
Truck-1,Route-1,(425.0 0.0 155.5),(125.0 0.0 150.0),376.88,29.68,42.104
Truck-11,Route-11,(675.0 0.0 205.5),(125.0 0.0 0.0),377.32,6.904,65.4
Truck-17,Route-17,(425.0 0.0 155.5),(125.0 0.0 150.0),380.312,33.4,35.776
Truck-19,Route-19,(675.0 0.0 205.5),(125.0 0.0 50.0),380.768,9.224,60.448
Truck-4,Route-4,(175.0 0.0 155.5),(375.0 0.0 0.0),381.904,29.76,47.024
Truck-10,Route-10,(425.0 0.0 194.5),(125.0 0.0 50.0),387.752,16.224,63.44
Truck-21,Route-21,(425.0 0.0 194.5),(375.0 0.0 100.0),387.752,21.24,55.448
Truck-23,Route-23,(675.0 0.0 55.5),(625.0 0.0 100.0),387.968,47.864,32.024
Truck-16,Route-16,(175.0 0.0 194.5),(625.0 0.0 0.0),389.944,21.24,63.624
Truck-7,Route-7,(175.0 0.0 194.5),(625.0 0.0 50.0),400.912,16.232,79.624
Truck-20,Route-20,(175.0 0.0 55.5),(125.0 0.0 0.0),401.296,40.192,40.984
Truck-13,Route-13,(675.0 0.0 55.5),(375.0 0.0 150.0),407.936,38.944,48.944
Truck-5,Route-5,(425.0 0.0 -5.5),(125.0 0.0 100.0),411.04,42.624,63.32
Truck-18,Route-18,(175.0 0.0 -5.5),(625.0 0.0 50.0),419.424,37.344,64.952
Truck-24,Route-24,(425.0 0.0 55.5),(375.0 0.0 150.0),441.776,41.416,83.288
Truck-3,Route-3,(675.0 0.0 5.5),(375.0 0.0 200.0),444.456,6.912,132.528
Truck-14,Route-14,(175.0 0.0 55.5),(375.0 0.0 50.0),456.168,36.968,99.104
Truck-113,Route-113,(675.0 0.0 155.5),(375.0 0.0 200.0),341.464,7.128,29.296
Truck-103,Route-103,(425.0 0.0 105.5),(125.0 0.0 200.0),343.712,7.136,31.52
Truck-124,Route-124,(675.0 0.0 105.5),(375.0 0.0 200.0),346.64,9.432,32.2
Truck-120,Route-120,(425.0 0.0 105.5),(375.0 0.0 200.0),347.496,9.536,32.872
Truck-108,Route-108,(425.0 0.0 205.5),(375.0 0.0 100.0),348.44,7.128,36.296
Truck-107,Route-107,(675.0 0.0 205.5),(625.0 0.0 50.0),351.92,7.128,39.768
Truck-106,Route-106,(425.0 0.0 55.5),(125.0 0.0 200.0),354.496,7.128,42.344
Truck-110,Route-110,(425.0 0.0 5.5),(625.0 0.0 200.0),355.696,7.128,43.512
Truck-109,Route-109,(175.0 0.0 155.5),(375.0 0.0 200.0),359.328,7.128,47.176
Truck-115,Route-115,(425.0 0.0 -5.5),(625.0 0.0 200.0),369.008,16.56,47.36
Truck-111,Route-111,(175.0 0.0 105.5),(375.0 0.0 200.0),369.4,7.128,57.264
Truck-100,Route-100,(175.0 0.0 5.5),(625.0 0.0 200.0),371.232,7.136,59.064
Truck-102,Route-102,(175.0 0.0 205.5),(625.0 0.0 0.0),372.048,7.136,59.92
Truck-105,Route-105,(675.0 0.0 -5.5),(375.0 0.0 50.0),379.088,36.056,37.936
Truck-121,Route-121,(175.0 0.0 5.5),(625.0 0.0 200.0),379.432,9.536,58.864
Truck-122,Route-122,(675.0 0.0 -5.5),(625.0 0.0 50.0),384.672,39.992,39.624
Truck-123,Route-123,(175.0 0.0 155.5),(375.0 0.0 150.0),397.392,38.512,50.776
Truck-116,Route-116,(425.0 0.0 55.5),(125.0 0.0 50.0),397.728,45.776,40.872
Truck-118,Route-118,(175.0 0.0 55.5),(375.0 0.0 150.0),402.496,45.544,51.888
Truck-104,Route-104,(675.0 0.0 105.5),(125.0 0.0 50.0),406.64,65.6,36.016
Truck-112,Route-112,(175.0 0.0 55.5),(375.0 0.0 0.0),407.776,42.976,41.76
Truck-114,Route-114,(425.0 0.0 155.5),(625.0 0.0 150.0),407.768,30.16,72.552
Truck-117,Route-117,(675.0 0.0 155.5),(125.0 0.0 100.0),437.144,79.792,52.32
Truck-101,Route-101,(675.0 0.0 55.5),(625.0 0.0 100.0),441.992,84.88,52.056
Truck-119,Route-119,(675.0 0.0 55.5),(125.0 0.0 150.0),460.792,129.592,26.128
