Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-11,Route-11,(675.0 0.0 105.5),(375.0 0.0 200.0),343.152,6.816,31.28
Truck-0,Route-0,(675.0 0.0 205.5),(375.0 0.0 100.0),346.624,6.832,34.728
Truck-6,Route-6,(175.0 0.0 205.5),(125.0 0.0 0.0),358.256,6.816,46.384
Truck-8,Route-8,(175.0 0.0 155.5),(375.0 0.0 200.0),359.976,6.816,48.08
Truck-2,Route-2,(675.0 0.0 155.5),(125.0 0.0 200.0),365.016,6.824,53.136
Truck-24,Route-24,(175.0 0.0 55.5),(125.0 0.0 200.0),365.136,9.216,50.904
Truck-23,Route-23,(175.0 0.0 5.5),(125.0 0.0 200.0),366.912,6.808,55.032
Truck-18,Route-18,(175.0 0.0 205.5),(125.0 0.0 50.0),367.792,9.216,44.568
Truck-16,Route-16,(425.0 0.0 155.5),(625.0 0.0 200.0),372.728,9.216,58.472
Truck-10,Route-10,(425.0 0.0 205.5),(375.0 0.0 0.0),374.712,6.816,62.832
Truck-14,Route-14,(425.0 0.0 55.5),(625.0 0.0 200.0),379.488,6.808,67.624
Truck-13,Route-13,(425.0 0.0 105.5),(125.0 0.0 150.0),379.792,33.656,41.048
Truck-12,Route-12,(675.0 0.0 5.5),(375.0 0.0 200.0),392.08,6.816,80.2
Truck-1,Route-1,(175.0 0.0 105.5),(375.0 0.0 200.0),395.744,6.832,83.816
Truck-9,Route-9,(675.0 0.0 55.5),(375.0 0.0 100.0),398.104,38.488,54.472
Truck-15,Route-15,(675.0 0.0 -5.5),(625.0 0.0 100.0),398.568,36.6,35.848
Truck-22,Route-22,(675.0 0.0 155.5),(375.0 0.0 0.0),398.704,34.968,58.664
Truck-19,Route-19,(675.0 0.0 55.5),(375.0 0.0 150.0),403.208,47.776,47.352
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 0.0),403.304,29.904,68.32
Truck-20,Route-20,(425.0 0.0 -5.5),(625.0 0.0 50.0),410.384,51.768,35.472
Truck-21,Route-21,(175.0 0.0 155.5),(375.0 0.0 200.0),410.688,9.216,90.336
Truck-17,Route-17,(175.0 0.0 105.5),(375.0 0.0 200.0),415.832,9.224,101.52
Truck-7,Route-7,(425.0 0.0 -5.5),(625.0 0.0 150.0),427.136,43.768,57.288
Truck-3,Route-3,(175.0 0.0 -5.5),(375.0 0.0 50.0),431.032,38.96,84.024
Truck-4,Route-4,(175.0 0.0 55.5),(625.0 0.0 50.0),452.72,36.696,98.92
Truck-107,Route-107,(675.0 0.0 155.5),(375.0 0.0 200.0),339.76,6.984,27.736
Truck-108,Route-108,(425.0 0.0 205.5),(125.0 0.0 100.0),348.024,6.984,36.024
Truck-122,Route-122,(425.0 0.0 155.5),(375.0 0.0 200.0),351.256,9.632,36.592
Truck-114,Route-114,(675.0 0.0 205.5),(625.0 0.0 50.0),352.256,6.976,40.24
Truck-119,Route-119,(425.0 0.0 105.5),(375.0 0.0 200.0),355.24,9.512,40.672
Truck-111,Route-111,(175.0 0.0 5.5),(125.0 0.0 200.0),356.568,6.976,44.496
Truck-106,Route-106,(425.0 0.0 155.5),(625.0 0.0 200.0),360.208,6.984,48.224
Truck-115,Route-115,(675.0 0.0 205.5),(375.0 0.0 0.0),364.2,9.624,43.56
Truck-102,Route-102,(425.0 0.0 55.5),(125.0 0.0 200.0),365.752,6.992,53.68
Truck-116,Route-116,(675.0 0.0 5.5),(125.0 0.0 200.0),376,6.976,63.992
Truck-101,Route-101,(175.0 0.0 155.5),(625.0 0.0 200.0),378.888,6.992,66.808
Truck-118,Route-118,(175.0 0.0 105.5),(375.0 0.0 200.0),381.048,12.056,63.928
Truck-100,Route-100,(675.0 0.0 -5.5),(375.0 0.0 0.0),382.064,35.944,41.024
Truck-120,Route-120,(675.0 0.0 155.5),(375.0 0.0 100.0),384.488,39.064,40.344
Truck-124,Route-124,(175.0 0.0 205.5),(625.0 0.0 0.0),386.648,9.64,65.976
Truck-104,Route-104,(175.0 0.0 205.5),(625.0 0.0 50.0),387.24,6.992,75.208
Truck-117,Route-117,(675.0 0.0 105.5),(375.0 0.0 50.0),399.128,52.32,38.728
Truck-112,Route-112,(425.0 0.0 5.5),(625.0 0.0 200.0),400.808,22.736,73.056
Truck-105,Route-105,(675.0 0.0 105.5),(125.0 0.0 150.0),403.496,43.92,36.496
Truck-113,Route-113,(175.0 0.0 55.5),(625.0 0.0 200.0),405.896,6.976,93.904
Truck-103,Route-103,(175.0 0.0 105.5),(125.0 0.0 150.0),407.048,52.712,49.248
Truck-110,Route-110,(675.0 0.0 55.5),(625.0 0.0 150.0),417.68,56.24,47.416
Truck-109,Route-109,(425.0 0.0 105.5),(625.0 0.0 100.0),418.36,35.688,77.528
Truck-123,Route-123,(675.0 0.0 55.5),(125.0 0.0 50.0),421.04,66.248,43.696
Truck-121,Route-121,(425.0 0.0 55.5),(625.0 0.0 100.0),454.288,82.296,66.848
