Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 -5.5),(375.0 0.0 0.0),383.552,36.632,41.808
Truck-101,Route-101,(175.0 0.0 5.5),(625.0 0.0 100.0),410.736,40.976,64.744
Truck-102,Route-102,(675.0 0.0 5.5),(375.0 0.0 200.0),353.88,6.928,41.912
Truck-103,Route-103,(675.0 0.0 155.5),(625.0 0.0 150.0),413.496,45.816,62.576
Truck-104,Route-104,(675.0 0.0 205.5),(125.0 0.0 100.0),363.784,6.864,51.936
Truck-105,Route-105,(425.0 0.0 205.5),(125.0 0.0 150.0),338.088,6.904,26.144
Truck-106,Route-106,(675.0 0.0 105.5),(375.0 0.0 150.0),370.424,34.496,30.864
Truck-107,Route-107,(175.0 0.0 55.5),(375.0 0.0 100.0),389.392,37.168,47.192
Truck-108,Route-108,(425.0 0.0 105.5),(375.0 0.0 200.0),346.592,6.944,34.616
Truck-109,Route-109,(425.0 0.0 55.5),(625.0 0.0 200.0),363.152,6.936,51.176
Truck-110,Route-110,(175.0 0.0 105.5),(375.0 0.0 200.0),358.52,6.936,46.52
Truck-111,Route-111,(425.0 0.0 155.5),(375.0 0.0 0.0),375.832,29.88,40.896
Truck-112,Route-112,(175.0 0.0 155.5),(625.0 0.0 50.0),426.944,29.936,91.928
Truck-113,Route-113,(675.0 0.0 55.5),(375.0 0.0 0.0),384.08,37.248,41.776
Truck-114,Route-114,(175.0 0.0 205.5),(375.0 0.0 100.0),362.848,6.824,50.984
Truck-115,Route-115,(675.0 0.0 55.5),(625.0 0.0 200.0),382.2,34.44,42.672
Truck-116,Route-116,(425.0 0.0 -5.5),(125.0 0.0 50.0),377.304,35.424,36.856
Truck-117,Route-117,(425.0 0.0 155.5),(375.0 0.0 150.0),381.112,30.008,46.032
Truck-118,Route-118,(675.0 0.0 5.5),(375.0 0.0 200.0),349.408,6.864,37.48
Truck-119,Route-119,(425.0 0.0 55.5),(625.0 0.0 200.0),362.936,7.008,50.912
Truck-120,Route-120,(175.0 0.0 205.5),(625.0 0.0 150.0),375.168,6.92,63.176
Truck-121,Route-121,(675.0 0.0 105.5),(125.0 0.0 200.0),359.504,6.88,47.592
Truck-122,Route-122,(175.0 0.0 155.5),(375.0 0.0 200.0),354.216,6.928,42.224
Truck-123,Route-123,(675.0 0.0 155.5),(125.0 0.0 50.0),389.192,29.664,54.424
Truck-124,Route-124,(175.0 0.0 55.5),(625.0 0.0 200.0),394.496,7.056,82.328
Truck-125,Route-125,(675.0 0.0 205.5),(625.0 0.0 50.0),351.384,6.944,39.32
Truck-126,Route-126,(175.0 0.0 105.5),(625.0 0.0 100.0),402.872,33.68,64.144
Truck-127,Route-127,(425.0 0.0 205.5),(625.0 0.0 50.0),368.944,6.96,56.984
Truck-128,Route-128,(175.0 0.0 5.5),(625.0 0.0 200.0),371.696,6.88,59.728
Truck-129,Route-129,(425.0 0.0 105.5),(125.0 0.0 0.0),382.888,36.152,41.712
