Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-0,Route-0,(175.0 0.0 155.5),(625.0 0.0 200.0),370.864,6.888,58.976
Truck-1,Route-1,(675.0 0.0 205.5),(625.0 0.0 150.0),344.016,6.896,32.056
Truck-2,Route-2,(675.0 0.0 55.5),(375.0 0.0 100.0),378.32,37.688,35.576
Truck-3,Route-3,(675.0 0.0 105.5),(125.0 0.0 50.0),395.688,36.352,54.296
Truck-4,Route-4,(175.0 0.0 105.5),(375.0 0.0 200.0),361.112,6.96,49.056
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 150.0),385.032,29.808,50.168
Truck-6,Route-6,(425.0 0.0 205.5),(375.0 0.0 150.0),342.92,6.92,31
Truck-7,Route-7,(425.0 0.0 5.5),(125.0 0.0 200.0),349.912,6.944,37.896
Truck-8,Route-8,(175.0 0.0 55.5),(125.0 0.0 50.0),376.68,36.944,34.736
Truck-9,Route-9,(425.0 0.0 155.5),(125.0 0.0 200.0),338.68,6.864,26.784
Truck-10,Route-10,(425.0 0.0 105.5),(125.0 0.0 100.0),376.056,35.64,35.312
Truck-11,Route-11,(175.0 0.0 194.5),(625.0 0.0 150.0),364.72,16.48,43.2
Truck-12,Route-12,(175.0 0.0 5.5),(625.0 0.0 200.0),371.184,6.848,59.28
Truck-13,Route-13,(675.0 0.0 5.5),(125.0 0.0 200.0),370.72,6.936,58.728
Truck-14,Route-14,(425.0 0.0 55.5),(125.0 0.0 200.0),346.768,6.952,34.752
Truck-15,Route-15,(675.0 0.0 155.5),(625.0 0.0 150.0),365.696,32.76,27.928
Truck-16,Route-16,(175.0 0.0 205.5),(625.0 0.0 50.0),382.88,6.888,70.92
Truck-17,Route-17,(675.0 0.0 55.5),(625.0 0.0 50.0),380.176,38.616,36.504
Truck-18,Route-18,(175.0 0.0 5.5),(125.0 0.0 200.0),356.408,6.928,44.424
Truck-19,Route-19,(175.0 0.0 105.5),(375.0 0.0 200.0),360.832,6.936,48.776
Truck-20,Route-20,(425.0 0.0 55.5),(375.0 0.0 200.0),347.248,6.896,35.336
Truck-21,Route-21,(425.0 0.0 155.5),(375.0 0.0 0.0),374.824,29.6,40.152
Truck-22,Route-22,(425.0 0.0 105.5),(625.0 0.0 200.0),359.768,6.896,47.8
Truck-23,Route-23,(675.0 0.0 5.5),(375.0 0.0 200.0),351.016,6.944,39.024
Truck-24,Route-24,(175.0 0.0 155.5),(125.0 0.0 0.0),375.592,29.848,40.688
Truck-25,Route-25,(425.0 0.0 205.5),(625.0 0.0 100.0),364.92,6.856,52.992
Truck-26,Route-26,(675.0 0.0 205.5),(375.0 0.0 100.0),344.256,6.896,32.296
Truck-27,Route-27,(175.0 0.0 55.5),(375.0 0.0 50.0),396.16,36.984,54.128
Truck-28,Route-28,(675.0 0.0 105.5),(625.0 0.0 100.0),371.784,35.408,31.344
Truck-29,Route-29,(425.0 0.0 5.5),(125.0 0.0 200.0),349.512,6.968,37.528
