Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(425.0 0.0 105.5),(125.0 0.0 150.0),370.352,34.512,30.792
Truck-101,Route-101,(425.0 0.0 -5.5),(375.0 0.0 200.0),363.248,16.4,41.8
Truck-102,Route-102,(675.0 0.0 155.5),(125.0 0.0 0.0),395.48,29.824,60.608
Truck-103,Route-103,(675.0 0.0 5.5),(375.0 0.0 200.0),353.456,6.952,41.44
Truck-104,Route-104,(175.0 0.0 -5.5),(125.0 0.0 150.0),371.48,36.488,29.928
Truck-105,Route-105,(675.0 0.0 105.5),(375.0 0.0 200.0),346.192,7,34.08
Truck-106,Route-106,(175.0 0.0 205.5),(375.0 0.0 0.0),355.616,6.992,43.552
Truck-107,Route-107,(175.0 0.0 55.5),(125.0 0.0 200.0),346.28,6.88,34.336
Truck-108,Route-108,(175.0 0.0 155.5),(375.0 0.0 200.0),358.488,6.976,46.472
Truck-109,Route-109,(675.0 0.0 55.5),(125.0 0.0 200.0),363.328,6.984,51.304
Truck-110,Route-110,(675.0 0.0 205.5),(375.0 0.0 50.0),366.784,6.912,54.808
Truck-111,Route-111,(425.0 0.0 55.5),(625.0 0.0 200.0),377.376,6.888,65.448
Truck-112,Route-112,(175.0 0.0 105.5),(125.0 0.0 100.0),370.856,33.912,31.88
Truck-113,Route-113,(425.0 0.0 205.5),(625.0 0.0 150.0),358.696,6.928,46.688
Truck-114,Route-114,(425.0 0.0 155.5),(625.0 0.0 200.0),355.328,6.888,43.344
Truck-115,Route-115,(175.0 0.0 5.5),(625.0 0.0 200.0),378.88,7,66.792
Truck-116,Route-116,(425.0 0.0 205.5),(375.0 0.0 50.0),352.864,6.896,40.936
Truck-117,Route-117,(175.0 0.0 105.5),(375.0 0.0 200.0),358.896,7.04,46.776
Truck-118,Route-118,(425.0 0.0 105.5),(625.0 0.0 200.0),361.2,6.96,49.184
Truck-119,Route-119,(175.0 0.0 55.5),(625.0 0.0 200.0),392.112,7.152,79.928
Truck-120,Route-120,(175.0 0.0 205.5),(375.0 0.0 100.0),364.216,6.872,52.288
Truck-121,Route-121,(425.0 0.0 5.5),(625.0 0.0 200.0),355.28,6.992,43.224
Truck-122,Route-122,(175.0 0.0 155.5),(375.0 0.0 100.0),381.52,29.8,46.656
Truck-123,Route-123,(675.0 0.0 5.5),(125.0 0.0 200.0),370.728,7,58.712
Truck-124,Route-124,(675.0 0.0 205.5),(125.0 0.0 100.0),360.608,6.984,48.536
Truck-125,Route-125,(675.0 0.0 105.5),(375.0 0.0 200.0),343.576,7,31.52
Truck-126,Route-126,(675.0 0.0 155.5),(375.0 0.0 200.0),339.216,7.032,27.12
Truck-127,Route-127,(675.0 0.0 55.5),(375.0 0.0 200.0),346.728,6.912,34.76
Truck-128,Route-128,(425.0 0.0 55.5),(125.0 0.0 0.0),386.64,38.392,43.208
Truck-129,Route-129,(425.0 0.0 155.5),(625.0 0.0 200.0),355.72,6.944,43.72
Truck-130,Route-130,(175.0 0.0 205.5),(375.0 0.0 0.0),358,6.872,46.064
Truck-131,Route-131,(175.0 0.0 5.5),(625.0 0.0 150.0),431.68,41.312,85.28
Truck-132,Route-132,(175.0 0.0 155.5),(625.0 0.0 100.0),417.224,30.024,82.144
Truck-133,Route-133,(675.0 0.0 205.5),(625.0 0.0 50.0),352.088,6.984,40.032
Truck-134,Route-134,(675.0 0.0 155.5),(375.0 0.0 150.0),364.936,29.904,30.04
