Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-100,Route-100,(675.0 0.0 -5.5),(125.0 0.0 200.0),381.632,26.152,50.408
Truck-101,Route-101,(425.0 0.0 155.5),(125.0 0.0 200.0),340.792,6.888,28.808
Truck-102,Route-102,(675.0 0.0 155.5),(375.0 0.0 200.0),339.88,6.88,27.912
Truck-103,Route-103,(675.0 0.0 55.5),(375.0 0.0 200.0),347.672,6.968,35.624
Truck-104,Route-104,(175.0 0.0 205.5),(125.0 0.0 150.0),343.416,6.952,31.448
Truck-105,Route-105,(425.0 0.0 55.5),(375.0 0.0 50.0),378.72,38.824,34.784
Truck-106,Route-106,(675.0 0.0 205.5),(375.0 0.0 150.0),338.28,6.984,26.248
Truck-107,Route-107,(175.0 0.0 55.5),(125.0 0.0 200.0),346.416,6.896,34.464
Truck-108,Route-108,(675.0 0.0 105.5),(375.0 0.0 100.0),376.336,35.68,35.608
Truck-109,Route-109,(425.0 0.0 105.5),(625.0 0.0 100.0),388.152,35.28,47.848
Truck-110,Route-110,(175.0 0.0 155.5),(625.0 0.0 100.0),397.832,29.752,63.024
Truck-111,Route-111,(175.0 0.0 105.5),(125.0 0.0 0.0),379.432,33.816,38.248
Truck-112,Route-112,(425.0 0.0 -5.5),(125.0 0.0 50.0),396.176,36.888,54.248
Truck-113,Route-113,(175.0 0.0 -5.5),(125.0 0.0 200.0),363.232,16.44,41.744
Truck-114,Route-114,(425.0 0.0 194.5),(375.0 0.0 100.0),356.632,16.464,35.112
Truck-115,Route-115,(425.0 0.0 55.5),(375.0 0.0 200.0),350.88,6.96,38.896
Truck-116,Route-116,(675.0 0.0 105.5),(125.0 0.0 150.0),388.184,35.584,47.536
Truck-117,Route-117,(175.0 0.0 155.5),(375.0 0.0 200.0),354.712,6.936,42.728
Truck-118,Route-118,(675.0 0.0 -5.5),(125.0 0.0 200.0),383.024,34.192,43.768
Truck-119,Route-119,(425.0 0.0 105.5),(125.0 0.0 100.0),376.616,35.624,35.928
Truck-120,Route-120,(175.0 0.0 205.5),(125.0 0.0 0.0),357.224,6.904,45.264
Truck-121,Route-121,(425.0 0.0 -5.5),(375.0 0.0 200.0),365,16.448,43.528
Truck-122,Route-122,(675.0 0.0 205.5),(625.0 0.0 0.0),357.336,6.904,45.432
Truck-123,Route-123,(175.0 0.0 105.5),(625.0 0.0 200.0),380.304,6.888,68.344
Truck-124,Route-124,(175.0 0.0 -5.5),(625.0 0.0 200.0),363.432,16.424,41.976
