Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-8,Route-8,(675.0 0.0 155.5),(125.0 0.0 200.0),366.3548,366.784,0.00646871,2.302896,6.84,54.896,,,519.104,560.408,560.408,0.3621417,0.29893,0.3305359
Truck-19,Route-19,(675.0 0.0 155.5),(125.0 0.0 200.0),384.2766,388.056,0.0448458,2.257846,29.352,53.688
Truck-6,Route-6,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,399.792,0.503916,3.441103,6.84,87.904
Truck-10,Route-10,(425.0 0.0 155.5),(625.0 0.0 200.0),395.0296,404.312,0.09767914,2.318045,6.832,92.424
Truck-1,Route-1,(425.0 0.0 55.5),(375.0 0.0 200.0),384.2766,422.52,0.4537851,3.141538,6.856,110.632
Truck-0,Route-0,(675.0 0.0 194.5),(625.0 0.0 0.0),412.9514,425.488,0.1109916,2.2816,57.296,63.2
Truck-4,Route-4,(675.0 0.0 -5.5),(375.0 0.0 0.0),412.9514,433.504,0.1819601,2.427346,60.872,67.552
Truck-11,Route-11,(175.0 0.0 55.5),(625.0 0.0 200.0),391.4453,434.56,0.4714815,3.129302,6.832,122.696
Truck-17,Route-17,(425.0 0.0 155.5),(375.0 0.0 200.0),416.5357,439.656,0.1983967,2.450105,34.76,99.928
Truck-2,Route-2,(675.0 0.0 105.5),(375.0 0.0 100.0),423.7044,440.632,0.136839,2.305442,58.872,73.656
Truck-16,Route-16,(425.0 0.0 194.5),(125.0 0.0 0.0),412.9514,447.856,0.3090236,2.688291,62.664,77.2
Truck-3,Route-3,(175.0 0.0 -5.5),(375.0 0.0 50.0),434.4575,448.856,0.1070861,2.221731,58.872,81.928
Truck-18,Route-18,(175.0 0.0 55.5),(125.0 0.0 0.0),441.6262,456.368,0.1040899,2.202366,86.392,64.872
Truck-15,Route-15,(425.0 0.0 55.5),(125.0 0.0 50.0),430.8731,463.336,0.2480486,2.512861,63.864,91.408
Truck-13,Route-13,(425.0 0.0 194.5),(625.0 0.0 0.0),412.9514,476.904,0.5661963,3.216436,55.112,116.736
Truck-9,Route-9,(175.0 0.0 105.5),(625.0 0.0 200.0),395.0296,484.056,0.9368281,4.090133,6.832,172.152
Truck-14,Route-14,(175.0 0.0 155.5),(625.0 0.0 200.0),398.614,494.176,0.969052,4.131404,6.816,182.36
Truck-5,Route-5,(425.0 0.0 105.5),(625.0 0.0 100.0),438.0418,498,0.434348,2.869565,53.344,139.592
Truck-7,Route-7,(425.0 0.0 -5.5),(625.0 0.0 200.0),412.9514,500.44,0.7745693,3.644364,58.864,136.432
Truck-12,Route-12,(175.0 0.0 194.5),(625.0 0.0 100.0),438.0418,519.104,0.5872293,3.17542,56.528,157.512
Truck-109,Route-109,(425.0 0.0 55.5),(375.0 0.0 200.0),384.2766,378.952,-0.06317955,2.02441,7.12,66.792
Truck-102,Route-102,(425.0 0.0 155.5),(375.0 0.0 200.0),380.6922,385.968,0.06538163,2.323459,7.144,73.816
Truck-103,Route-103,(425.0 0.0 105.5),(625.0 0.0 200.0),395.0296,397.608,0.02713259,2.169067,7.144,85.464
Truck-110,Route-110,(175.0 0.0 155.5),(375.0 0.0 200.0),398.614,403.16,0.04609947,2.194894,7.12,91.008
Truck-100,Route-100,(175.0 0.0 -5.5),(375.0 0.0 0.0),412.9514,433.712,0.1838017,2.431127,71.568,57.176
Truck-106,Route-106,(675.0 0.0 194.5),(125.0 0.0 200.0),412.9514,435.328,0.1981087,2.460509,64.904,65.44
Truck-114,Route-114,(675.0 0.0 -5.5),(125.0 0.0 100.0),405.7827,439.216,0.316057,2.729726,75.08,59.072
Truck-104,Route-104,(675.0 0.0 105.5),(375.0 0.0 150.0),438.0418,455.408,0.1258038,2.25229,65.44,84.912
Truck-112,Route-112,(675.0 0.0 155.5),(625.0 0.0 200.0),434.4575,466.432,0.2378042,2.48406,87.008,74.504
Truck-119,Route-119,(675.0 0.0 194.5),(625.0 0.0 100.0),438.0418,466.456,0.2058375,2.412406,70.368,91.16
Truck-105,Route-105,(175.0 0.0 194.5),(375.0 0.0 100.0),438.0418,472.008,0.2460572,2.49287,69.44,85.52
Truck-117,Route-117,(175.0 0.0 155.5),(625.0 0.0 200.0),441.6262,474.072,0.2290949,2.451718,109.784,59.28
Truck-101,Route-101,(425.0 0.0 194.5),(625.0 0.0 150.0),441.6262,477.416,0.2527063,2.498817,74.72,97.72
Truck-111,Route-111,(675.0 0.0 55.5),(125.0 0.0 50.0),412.9514,482.192,0.6130129,3.312582,120.608,56.592
Truck-113,Route-113,(425.0 0.0 -5.5),(375.0 0.0 50.0),434.4575,482.432,0.3568009,2.722866,98.968,78.432
Truck-107,Route-107,(175.0 0.0 55.5),(125.0 0.0 100.0),434.4575,496.184,0.4590785,2.928119,140.088,51.144
Truck-115,Route-115,(675.0 0.0 55.5),(125.0 0.0 150.0),427.2888,496.28,0.5420058,3.115556,116.392,74.904
Truck-108,Route-108,(175.0 0.0 105.5),(625.0 0.0 50.0),466.7166,537.152,0.4224853,2.790023,150.552,81.6
Truck-116,Route-116,(175.0 0.0 105.5),(625.0 0.0 0.0),445.2105,549.936,0.7211975,3.42378,185.264,59.656
Truck-118,Route-118,(675.0 0.0 155.5),(625.0 0.0 150.0),445.2105,560.408,0.7933139,3.567233,161.44,90.928
