Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-11,Route-11,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,338.96,-0.05584296,2.597333,6.968,26.888,,,428.24,422.264,428.24,0.1654478,0.05717843,0.1113131
Truck-9,Route-9,(425.0 0.0 205.5),(375.0 0.0 100.0),344.8487,348.608,0.08382275,2.859294,6.976,36.52
Truck-10,Route-10,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,350.928,0.05151435,2.680422,6.968,38.784
Truck-0,Route-0,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,354.696,0.1293126,2.878738,6.84,42.76
Truck-17,Route-17,(425.0 0.0 205.5),(125.0 0.0 50.0),348.433,358.968,0.2175164,3.103578,9.352,38.496
Truck-2,Route-2,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,362.432,0.2002147,2.972953,6.976,50.304
Truck-14,Route-14,(175.0 0.0 205.5),(375.0 0.0 100.0),362.7704,367.088,0.06878394,2.484741,6.832,55.184
Truck-19,Route-19,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,379.184,0.1321846,2.554322,9.36,64.784
Truck-13,Route-13,(675.0 0.0 155.5),(375.0 0.0 50.0),369.9391,380.36,0.1489991,2.592257,29.424,45.832
Truck-3,Route-3,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,380.632,0.284554,2.98637,6.84,68.704
Truck-16,Route-16,(425.0 0.0 155.5),(125.0 0.0 0.0),373.5235,380.76,0.09842493,2.447273,34.792,37.936
Truck-1,Route-1,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,386.016,0.2963046,2.966069,6.84,74.064
Truck-15,Route-15,(425.0 0.0 105.5),(375.0 0.0 200.0),380.6922,390.856,0.1259575,2.455567,27.84,57.928
Truck-6,Route-6,(675.0 0.0 -5.5),(375.0 0.0 150.0),366.3548,393.944,0.4157837,3.239448,36.592,43.336
Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 150.0),384.2766,394.072,0.1162297,2.412102,33.112,52.944
Truck-12,Route-12,(175.0 0.0 155.5),(625.0 0.0 0.0),391.4453,403.128,0.1277567,2.398325,30.496,52.632
Truck-8,Route-8,(425.0 0.0 105.5),(625.0 0.0 100.0),387.8609,412.2,0.2770187,2.736586,38.64,59.536
Truck-4,Route-4,(425.0 0.0 155.5),(625.0 0.0 100.0),402.1983,420.92,0.18319,2.467755,29.96,85.976
Truck-5,Route-5,(175.0 0.0 5.5),(625.0 0.0 150.0),409.367,421.048,0.1068055,2.283925,41.296,74.752
Truck-18,Route-18,(175.0 0.0 155.5),(625.0 0.0 150.0),398.614,428.24,0.3004244,2.72851,33.496,74.72
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,339.568,-0.04110863,2.637866,7.16,27.368
Truck-114,Route-114,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.808,-0.03529197,2.653867,7.152,27.64
Truck-103,Route-103,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,343.496,-0.03016057,2.558588,7.16,31.352
Truck-104,Route-104,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,344.832,-0.0003715294,2.637177,7.16,32.656
Truck-116,Route-116,(425.0 0.0 205.5),(125.0 0.0 100.0),344.8487,347.808,0.06598525,2.812236,7.152,35.608
Truck-112,Route-112,(675.0 0.0 205.5),(375.0 0.0 50.0),348.433,347.816,-0.01273934,2.516632,7.152,35.6
Truck-102,Route-102,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,350.888,-0.02171129,2.423238,7.16,38.664
Truck-100,Route-100,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,353.216,0.09875473,2.800842,7.16,41.056
Truck-107,Route-107,(425.0 0.0 5.5),(625.0 0.0 200.0),352.0174,357.384,0.1031701,2.732572,7.152,45.184
Truck-113,Route-113,(425.0 0.0 194.5),(375.0 0.0 100.0),355.6017,363.048,0.1339219,2.741218,16.544,41.44
Truck-119,Route-119,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,365.88,0.04953908,2.44,9.608,51.192
Truck-115,Route-115,(175.0 0.0 194.5),(375.0 0.0 0.0),362.7704,367.752,0.07936219,2.509334,21.576,41.136
Truck-111,Route-111,(175.0 0.0 194.5),(625.0 0.0 100.0),373.5235,373.528,6.184582E-05,2.228122,16.544,51.848
Truck-109,Route-109,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,375.552,0.08025386,2.437161,7.152,63.368
Truck-118,Route-118,(425.0 0.0 155.5),(125.0 0.0 150.0),362.7704,377.752,0.2386729,2.879704,35.744,36.904
Truck-108,Route-108,(425.0 0.0 55.5),(625.0 0.0 200.0),373.5235,377.88,0.05925369,2.36,7.152,65.68
Truck-106,Route-106,(675.0 0.0 105.5),(375.0 0.0 200.0),377.1078,387.728,0.1377311,2.506514,33.992,48.648
Truck-110,Route-110,(175.0 0.0 55.5),(625.0 0.0 200.0),391.4453,391.816,0.004054427,2.135256,7.152,79.616
Truck-105,Route-105,(175.0 0.0 155.5),(625.0 0.0 150.0),398.614,406.344,0.0783869,2.262638,30.24,70.984
Truck-117,Route-117,(175.0 0.0 -5.5),(625.0 0.0 200.0),405.7827,422.264,0.1558039,2.397333,27.512,89.728
