Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-14,Route-14,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,341.976,0.01724736,2.798401,7.352,29.632,,,422.832,428.128,428.128,0.07727493,0.1481901,0.1127325
Truck-2,Route-2,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,344.296,0.07346971,2.953066,7.368,32
Truck-10,Route-10,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,347.352,0.05581719,2.785411,7.36,35.016
Truck-8,Route-8,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,348.608,0.003612986,2.558316,7.36,36.28
Truck-4,Route-4,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,351.592,0.06522404,2.715369,7.368,39.248
Truck-0,Route-0,(175.0 0.0 205.5),(375.0 0.0 0.0),352.0174,352.304,0.005510104,2.490666,7.368,40.096
Truck-6,Route-6,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,355.488,0.1456649,2.920421,7.36,43.224
Truck-7,Route-7,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,360.32,0.01915893,2.4128,7.36,48.04
Truck-11,Route-11,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,361.344,-0.02272443,2.272,7.36,49.072
Truck-1,Route-1,(675.0 0.0 155.5),(125.0 0.0 100.0),366.3548,367.824,0.02214217,2.338759,30.712,32.192
Truck-19,Route-19,(675.0 0.0 105.5),(375.0 0.0 200.0),362.7704,372.2,0.1502236,2.674074,28.872,38.384
Truck-9,Route-9,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,374.952,0.07167489,2.417806,7.36,62.648
Truck-3,Route-3,(425.0 0.0 205.5),(625.0 0.0 50.0),366.3548,375.784,0.1421033,2.613241,7.368,63.464
Truck-16,Route-16,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,380.8,0.04788279,2.308571,10,65.824
Truck-17,Route-17,(675.0 0.0 -5.5),(625.0 0.0 150.0),366.3548,384.288,0.2702628,2.906482,40.4,35.832
Truck-12,Route-12,(675.0 0.0 -5.5),(625.0 0.0 0.0),377.1078,388.224,0.1441637,2.520686,37.192,46.088
Truck-5,Route-5,(675.0 0.0 105.5),(625.0 0.0 100.0),387.8609,398.288,0.1186773,2.397268,39.808,53.52
Truck-13,Route-13,(425.0 0.0 5.5),(625.0 0.0 200.0),405.7827,407.216,0.01354995,2.102275,30.696,71.68
Truck-15,Route-15,(675.0 0.0 155.5),(375.0 0.0 50.0),405.7827,417.88,0.1143604,2.311373,52.184,54.888
Truck-18,Route-18,(175.0 0.0 5.5),(625.0 0.0 100.0),412.9514,422.832,0.087477,2.233309,48.576,63.32
Truck-110,Route-110,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,339.944,-0.03199647,2.662933,7.544,27.64
Truck-112,Route-112,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,339.944,-0.03199647,2.662933,7.536,27.64
Truck-102,Route-102,(425.0 0.0 105.5),(125.0 0.0 200.0),344.8487,345.184,0.007476859,2.657882,7.552,32.752
Truck-111,Route-111,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,352.072,0.001050158,2.479619,7.544,39.704
Truck-105,Route-105,(175.0 0.0 5.5),(125.0 0.0 200.0),352.0174,352.272,0.004895263,2.489143,7.544,39.92
Truck-114,Route-114,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,359.56,-0.05114541,2.205926,7.536,47.224
Truck-109,Route-109,(675.0 0.0 105.5),(125.0 0.0 200.0),362.7704,364.768,0.03182374,2.398815,7.544,52.416
Truck-108,Route-108,(175.0 0.0 194.5),(125.0 0.0 0.0),362.7704,368.248,0.08726355,2.527703,16.736,46.632
Truck-101,Route-101,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,372.312,0.0897787,2.493518,38.92,28.464
Truck-103,Route-103,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,376.752,0.4755076,3.654858,7.552,64.336
Truck-116,Route-116,(675.0 0.0 55.5),(375.0 0.0 200.0),366.3548,383.416,0.2571212,2.876413,37,41.496
Truck-100,Route-100,(675.0 0.0 194.5),(625.0 0.0 200.0),355.6017,385.568,0.5389452,3.720348,25.456,55.064
Truck-113,Route-113,(175.0 0.0 55.5),(625.0 0.0 200.0),391.4453,389.416,-0.02219105,2.079442,7.536,77.056
Truck-104,Route-104,(425.0 0.0 194.5),(125.0 0.0 150.0),369.9391,390.2,0.2896933,2.909678,17.168,68.232
Truck-107,Route-107,(425.0 0.0 55.5),(625.0 0.0 200.0),391.4453,392.12,0.007378662,2.142325,7.544,79.696
Truck-115,Route-115,(425.0 0.0 55.5),(125.0 0.0 200.0),373.5235,393.536,0.2721926,2.834424,36.776,51.744
Truck-117,Route-117,(425.0 0.0 194.5),(125.0 0.0 150.0),369.9391,398.808,0.4127718,3.187355,22.032,68.728
Truck-106,Route-106,(175.0 0.0 155.5),(125.0 0.0 50.0),387.8609,405.608,0.2019909,2.575805,56.84,43.88
Truck-118,Route-118,(175.0 0.0 194.5),(125.0 0.0 100.0),391.4453,410.832,0.2120039,2.577488,42.48,63.344
Truck-119,Route-119,(175.0 0.0 155.5),(625.0 0.0 50.0),405.7827,428.128,0.2112382,2.512314,47.72,75.392
