Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-5,Route-5,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,343.28,0.04884817,2.885333,7.192,31.328,,,453.448,539.56,539.56,0.3439344,0.4100903,0.3770123
Truck-14,Route-14,(175.0 0.0 205.5),(125.0 0.0 100.0),344.8487,349.136,0.09559534,2.890352,7.176,37.256
Truck-15,Route-15,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,353.648,0.3001067,3.576534,9.776,29.912
Truck-9,Route-9,(675.0 0.0 55.5),(625.0 0.0 200.0),348.433,356.712,0.170937,2.984842,7.184,44.608
Truck-1,Route-1,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,369.008,0.16595,2.76032,7.2,56.968
Truck-16,Route-16,(175.0 0.0 194.5),(625.0 0.0 50.0),377.1078,372.352,-0.06167802,2.0672,16.728,50.68
Truck-2,Route-2,(175.0 0.0 5.5),(375.0 0.0 200.0),352.0174,376.896,0.4782755,3.661714,7.2,64.76
Truck-17,Route-17,(425.0 0.0 55.5),(125.0 0.0 200.0),366.3548,376.888,0.1587412,2.65131,9.528,62.28
Truck-27,Route-27,(675.0 0.0 205.5),(125.0 0.0 150.0),359.1861,383.992,0.4191179,3.35968,9.776,51.296
Truck-8,Route-8,(675.0 0.0 205.5),(125.0 0.0 50.0),366.3548,384.512,0.2736386,2.914207,7.184,72.448
Truck-29,Route-29,(425.0 0.0 5.5),(625.0 0.0 200.0),369.9391,385.264,0.2191176,2.750452,7.168,73.232
Truck-13,Route-13,(675.0 0.0 105.5),(375.0 0.0 200.0),362.7704,386.024,0.3704543,3.186074,30.448,50.768
Truck-11,Route-11,(425.0 0.0 105.5),(375.0 0.0 100.0),369.9391,387.872,0.2564072,2.834581,36.704,46.312
Truck-22,Route-22,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,388.896,0.7089677,4.233143,7.176,76.824
Truck-20,Route-20,(425.0 0.0 194.5),(375.0 0.0 0.0),380.6922,389.168,0.1050387,2.409946,21.952,62.2
Truck-24,Route-24,(175.0 0.0 -5.5),(125.0 0.0 200.0),362.7704,391.432,0.4566098,3.386371,16.728,69.792
Truck-18,Route-18,(175.0 0.0 155.5),(375.0 0.0 200.0),359.1861,395.264,0.6095682,3.81056,9.784,74.696
Truck-3,Route-3,(675.0 0.0 -5.5),(375.0 0.0 100.0),387.8609,396.256,0.09555002,2.347708,37.208,54.224
Truck-4,Route-4,(425.0 0.0 194.5),(125.0 0.0 0.0),380.6922,398.024,0.2147889,2.649297,16.752,76.464
Truck-28,Route-28,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,399.536,1.055127,5.238738,9.776,75.792
Truck-26,Route-26,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,400.312,0.6948586,4.01248,9.784,79.696
Truck-0,Route-0,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,404.776,0.3588241,2.9936,7.2,92.848
Truck-19,Route-19,(425.0 0.0 105.5),(625.0 0.0 150.0),384.2766,404.76,0.2430505,2.686154,40.408,59.632
Truck-23,Route-23,(175.0 0.0 105.5),(125.0 0.0 50.0),373.5235,407.992,0.46881,3.272485,42.56,54.512
Truck-6,Route-6,(425.0 0.0 -5.5),(375.0 0.0 200.0),362.7704,410.216,0.7558591,4.082074,16.744,88.52
Truck-12,Route-12,(175.0 0.0 105.5),(625.0 0.0 200.0),380.6922,415.16,0.4271516,3.112432,7.176,103.104
Truck-25,Route-25,(675.0 0.0 105.5),(125.0 0.0 50.0),391.4453,417.408,0.2839156,2.730418,42.56,66.872
Truck-7,Route-7,(425.0 0.0 55.5),(625.0 0.0 100.0),391.4453,423.08,0.3459418,2.862325,44.52,73.64
Truck-21,Route-21,(175.0 0.0 55.5),(375.0 0.0 50.0),420.1201,443.592,0.1954041,2.433763,45.232,84.512
Truck-10,Route-10,(175.0 0.0 55.5),(625.0 0.0 100.0),409.367,453.448,0.4030557,2.895245,39.168,106.36
Truck-108,Route-108,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,343.768,0.06067453,2.917867,7.528,31.384
Truck-110,Route-110,(175.0 0.0 105.5),(125.0 0.0 200.0),344.8487,344.496,-0.007863359,2.617412,7.528,32.176
Truck-113,Route-113,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,346.64,0.1302748,3.109334,7.52,34.248
Truck-100,Route-100,(675.0 0.0 105.5),(375.0 0.0 200.0),344.8487,349.584,0.1055851,2.916707,7.544,37.144
Truck-105,Route-105,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,354.36,0.1223746,2.861052,7.536,42.024
Truck-109,Route-109,(425.0 0.0 205.5),(125.0 0.0 0.0),352.0174,359.168,0.1374663,2.817524,7.528,46.736
Truck-125,Route-125,(675.0 0.0 55.5),(375.0 0.0 200.0),348.433,364.712,0.3361135,3.405895,10.176,49.76
Truck-117,Route-117,(425.0 0.0 205.5),(625.0 0.0 150.0),359.1861,365.504,0.1067469,2.62016,10.168,50.56
Truck-112,Route-112,(675.0 0.0 155.5),(125.0 0.0 200.0),359.1861,367.456,0.1397276,2.69824,7.52,55.152
Truck-103,Route-103,(425.0 0.0 55.5),(125.0 0.0 200.0),366.3548,373.216,0.1034023,2.52469,7.536,60.872
Truck-101,Route-101,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,374.144,0.4253704,3.530667,7.544,61.648
Truck-127,Route-127,(425.0 0.0 55.5),(375.0 0.0 200.0),348.433,376.36,0.5766102,4.018947,10.184,61.504
Truck-106,Route-106,(425.0 0.0 5.5),(625.0 0.0 200.0),369.9391,378.024,0.1155987,2.516903,7.536,65.616
Truck-128,Route-128,(425.0 0.0 155.5),(625.0 0.0 200.0),359.1861,379.16,0.337477,3.1664,10.168,64.112
Truck-121,Route-121,(175.0 0.0 205.5),(375.0 0.0 100.0),362.7704,379.68,0.2693877,2.951111,10.184,58.56
Truck-104,Route-104,(175.0 0.0 55.5),(375.0 0.0 200.0),366.3548,381.592,0.229633,2.813518,7.536,69.216
