Truck_id, Route_id, Origin, Destination, Total Time, PickupSta AT, DropSta AT
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 200.0),375.508,36.452,38.048
Truck-1,Route-1,(675.0 0.0 205.5),(625.0 0.0 0.0),349.88,6.996,41.88
Truck-2,Route-2,(425.0 0.0 105.5),(625.0 0.0 200.0),357.488,7,49.476
Truck-3,Route-3,(175.0 0.0 155.5),(625.0 0.0 200.0),367.7,7,59.696
Truck-4,Route-4,(425.0 0.0 105.5),(625.0 0.0 200.0),357.46,7.012,49.436
Truck-5,Route-5,(675.0 0.0 155.5),(125.0 0.0 200.0),353.2,7.016,45.176
Truck-6,Route-6,(425.0 0.0 105.5),(125.0 0.0 200.0),341.4,7.02,33.376
Truck-7,Route-7,(675.0 0.0 155.5),(375.0 0.0 100.0),367.004,30.56,35.432
Truck-8,Route-8,(425.0 0.0 205.5),(375.0 0.0 150.0),339.888,7.008,31.872
Truck-9,Route-9,(675.0 0.0 5.5),(375.0 0.0 200.0),347.772,7.008,39.752
Truck-10,Route-10,(675.0 0.0 105.5),(375.0 0.0 200.0),359.408,25.704,32.696
Truck-11,Route-11,(675.0 0.0 5.5),(375.0 0.0 200.0),370.808,25.112,44.692
Truck-12,Route-12,(175.0 0.0 55.5),(375.0 0.0 200.0),360.676,7.012,52.656
Truck-13,Route-13,(175.0 0.0 205.5),(375.0 0.0 100.0),363.048,7.004,55.032
Truck-14,Route-14,(675.0 0.0 205.5),(375.0 0.0 0.0),349.232,7.004,41.216
Truck-15,Route-15,(175.0 0.0 105.5),(125.0 0.0 200.0),383.948,55.648,27.288
Truck-16,Route-16,(425.0 0.0 205.5),(125.0 0.0 50.0),346.168,7.032,38.132
Truck-17,Route-17,(675.0 0.0 205.5),(125.0 0.0 0.0),365.24,7.012,57.216
Truck-18,Route-18,(675.0 0.0 205.5),(375.0 0.0 100.0),343.04,7,35.032
Truck-19,Route-19,(175.0 0.0 205.5),(125.0 0.0 100.0),343.54,7.012,35.516
Truck-20,Route-20,(675.0 0.0 155.5),(625.0 0.0 150.0),357.4,29.224,27.164
Truck-21,Route-21,(675.0 0.0 105.5),(375.0 0.0 200.0),361.572,27.868,32.684
Truck-22,Route-22,(675.0 0.0 155.5),(125.0 0.0 200.0),353.312,7.012,45.292
Truck-23,Route-23,(425.0 0.0 55.5),(625.0 0.0 200.0),396.748,36.068,59.672
Truck-24,Route-24,(425.0 0.0 205.5),(625.0 0.0 50.0),362.712,7.012,54.688
Truck-25,Route-25,(425.0 0.0 205.5),(375.0 0.0 100.0),344.432,7.016,36.412
Truck-26,Route-26,(675.0 0.0 105.5),(375.0 0.0 200.0),396.888,60.492,35.388
Truck-27,Route-27,(675.0 0.0 105.5),(625.0 0.0 200.0),398.596,62.248,35.336
Truck-28,Route-28,(175.0 0.0 105.5),(375.0 0.0 150.0),377.308,33.464,42.832
Truck-29,Route-29,(675.0 0.0 5.5),(625.0 0.0 200.0),352.776,7.004,44.764
