Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-4,Route-4,(675.0 0.0 155.5),(625.0 0.0 200.0),342.016,7.048,29.848
Truck-1,Route-1,(425.0 0.0 205.5),(375.0 0.0 150.0),349.272,7.048,37.136
Truck-14,Route-14,(425.0 0.0 55.5),(125.0 0.0 200.0),349.936,7.04,37.84
Truck-11,Route-11,(675.0 0.0 205.5),(625.0 0.0 0.0),356.56,7.04,44.376
Truck-2,Route-2,(175.0 0.0 205.5),(125.0 0.0 50.0),363.416,7.048,51.256
Truck-3,Route-3,(425.0 0.0 5.5),(125.0 0.0 200.0),369.88,7.048,57.688
Truck-0,Route-0,(425.0 0.0 155.5),(375.0 0.0 50.0),371.856,31.072,35.624
Truck-12,Route-12,(175.0 0.0 105.5),(375.0 0.0 200.0),375.2,7.04,62.992
Truck-7,Route-7,(175.0 0.0 5.5),(375.0 0.0 200.0),378.952,7.04,66.824
Truck-6,Route-6,(675.0 0.0 55.5),(125.0 0.0 200.0),389.624,7.04,77.464
Truck-8,Route-8,(675.0 0.0 105.5),(375.0 0.0 100.0),389.624,36.256,36.176
Truck-5,Route-5,(425.0 0.0 105.5),(625.0 0.0 100.0),391.704,34.896,51.624
Truck-9,Route-9,(675.0 0.0 -5.5),(125.0 0.0 150.0),392.544,36.12,42.248
Truck-10,Route-10,(175.0 0.0 55.5),(625.0 0.0 200.0),400.168,7.04,87.904
Truck-13,Route-13,(175.0 0.0 155.5),(625.0 0.0 100.0),414.232,29.872,79.208
Truck-111,Route-111,(425.0 0.0 155.5),(375.0 0.0 200.0),340.712,7.304,28.296
Truck-110,Route-110,(675.0 0.0 105.5),(625.0 0.0 200.0),345.272,7.304,32.888
Truck-107,Route-107,(425.0 0.0 5.5),(125.0 0.0 200.0),351.168,7.304,38.752
Truck-114,Route-114,(175.0 0.0 5.5),(375.0 0.0 200.0),355.008,7.304,42.584
Truck-113,Route-113,(425.0 0.0 205.5),(625.0 0.0 0.0),357.992,7.304,45.576
Truck-103,Route-103,(675.0 0.0 205.5),(125.0 0.0 100.0),363.872,7.312,51.552
Truck-112,Route-112,(425.0 0.0 105.5),(375.0 0.0 150.0),370.36,33.56,28.712
Truck-106,Route-106,(175.0 0.0 205.5),(625.0 0.0 150.0),377.2,7.304,64.848
Truck-102,Route-102,(675.0 0.0 55.5),(625.0 0.0 200.0),386.224,32.984,48.16
Truck-105,Route-105,(425.0 0.0 55.5),(125.0 0.0 150.0),386.624,47.48,30.92
Truck-100,Route-100,(175.0 0.0 155.5),(375.0 0.0 50.0),398.888,30.56,63.248
Truck-104,Route-104,(675.0 0.0 155.5),(125.0 0.0 50.0),399.472,34.832,59.576
Truck-101,Route-101,(175.0 0.0 105.5),(375.0 0.0 100.0),401.4,38.4,57.952
Truck-109,Route-109,(675.0 0.0 -5.5),(125.0 0.0 50.0),410.76,37.112,59.432
Truck-108,Route-108,(175.0 0.0 55.5),(625.0 0.0 50.0),432.984,47.648,80.152
