Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-9,Route-9,(675.0 0.0 155.5),(375.0 0.0 200.0),339.832,7.024,27.648
Truck-4,Route-4,(425.0 0.0 205.5),(125.0 0.0 150.0),340.408,7.032,28.24
Truck-7,Route-7,(425.0 0.0 105.5),(125.0 0.0 200.0),344.656,7.032,32.52
Truck-10,Route-10,(175.0 0.0 105.5),(125.0 0.0 200.0),345.784,7.024,33.656
Truck-13,Route-13,(425.0 0.0 5.5),(125.0 0.0 200.0),358.288,7.024,46.096
Truck-1,Route-1,(675.0 0.0 5.5),(625.0 0.0 200.0),358.44,7.032,46.272
Truck-12,Route-12,(675.0 0.0 205.5),(125.0 0.0 100.0),362.896,7.024,50.752
Truck-2,Route-2,(675.0 0.0 105.5),(125.0 0.0 200.0),368.832,7.032,56.6
Truck-0,Route-0,(175.0 0.0 194.5),(375.0 0.0 0.0),372.648,16.392,51.088
Truck-3,Route-3,(675.0 0.0 55.5),(375.0 0.0 150.0),374.44,39.032,30.272
Truck-8,Route-8,(175.0 0.0 5.5),(625.0 0.0 200.0),374.96,7.024,62.768
Truck-11,Route-11,(425.0 0.0 55.5),(125.0 0.0 150.0),380.144,39.024,36.064
Truck-5,Route-5,(425.0 0.0 155.5),(625.0 0.0 50.0),391.936,29.944,56.904
Truck-6,Route-6,(175.0 0.0 55.5),(625.0 0.0 200.0),395.04,7.032,82.904
Truck-14,Route-14,(175.0 0.0 155.5),(375.0 0.0 50.0),396.184,30.256,60.808
Truck-100,Route-100,(425.0 0.0 155.5),(125.0 0.0 200.0),340.056,7.264,27.704
Truck-106,Route-106,(175.0 0.0 155.5),(125.0 0.0 200.0),340.392,7.256,28.056
Truck-113,Route-113,(425.0 0.0 205.5),(375.0 0.0 50.0),354.696,7.256,42.376
Truck-104,Route-104,(425.0 0.0 105.5),(625.0 0.0 200.0),359.48,7.264,47.08
Truck-101,Route-101,(675.0 0.0 205.5),(125.0 0.0 100.0),364.328,7.264,51.88
Truck-108,Route-108,(425.0 0.0 -5.5),(375.0 0.0 200.0),369.4,16.848,47.504
Truck-111,Route-111,(675.0 0.0 55.5),(125.0 0.0 200.0),369.536,7.256,57.176
Truck-112,Route-112,(175.0 0.0 194.5),(625.0 0.0 0.0),370.648,16.84,48.696
Truck-107,Route-107,(175.0 0.0 -5.5),(375.0 0.0 200.0),373.552,16.848,51.632
Truck-103,Route-103,(675.0 0.0 -5.5),(125.0 0.0 200.0),391.28,27.432,58.72
Truck-102,Route-102,(175.0 0.0 55.5),(625.0 0.0 200.0),393.64,33.368,55.096
Truck-114,Route-114,(675.0 0.0 155.5),(125.0 0.0 100.0),394.72,32.664,57.04
Truck-109,Route-109,(425.0 0.0 55.5),(625.0 0.0 100.0),405.072,42.344,57.688
Truck-110,Route-110,(675.0 0.0 105.5),(125.0 0.0 50.0),408.88,43.672,60.08
Truck-105,Route-105,(175.0 0.0 105.5),(625.0 0.0 150.0),413.32,36.944,71.248
