Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-4,Route-4,(175.0 0.0 155.5),(125.0 0.0 200.0),340.168,6.968,28.056
Truck-13,Route-13,(175.0 0.0 205.5),(125.0 0.0 150.0),349.952,6.96,37.864
Truck-12,Route-12,(425.0 0.0 205.5),(125.0 0.0 50.0),351.88,6.968,39.76
Truck-11,Route-11,(675.0 0.0 55.5),(625.0 0.0 200.0),354.024,6.968,41.84
Truck-2,Route-2,(675.0 0.0 205.5),(375.0 0.0 0.0),356.832,6.968,44.64
Truck-3,Route-3,(175.0 0.0 5.5),(375.0 0.0 200.0),361.84,6.968,49.632
Truck-7,Route-7,(425.0 0.0 55.5),(125.0 0.0 100.0),382.016,39.304,37.448
Truck-9,Route-9,(175.0 0.0 55.5),(125.0 0.0 100.0),385.84,36.6,31.992
Truck-1,Route-1,(675.0 0.0 155.5),(625.0 0.0 100.0),391.992,30.136,56.728
Truck-109,Route-109,(425.0 0.0 155.5),(375.0 0.0 200.0),342.024,7.264,29.656
Truck-108,Route-108,(675.0 0.0 205.5),(625.0 0.0 0.0),355.752,7.264,43.344
Truck-110,Route-110,(675.0 0.0 155.5),(125.0 0.0 200.0),357.168,7.264,44.808
Truck-113,Route-113,(175.0 0.0 5.5),(375.0 0.0 200.0),359.736,7.264,47.304
Truck-112,Route-112,(175.0 0.0 155.5),(125.0 0.0 150.0),370.4,31.816,33.376
Truck-111,Route-111,(675.0 0.0 105.5),(625.0 0.0 50.0),381.448,39.248,37.088
Truck-105,Route-105,(675.0 0.0 55.5),(625.0 0.0 100.0),384.768,47.032,32.68
Truck-106,Route-106,(425.0 0.0 55.5),(125.0 0.0 100.0),385.512,38.368,39
Truck-114,Route-114,(175.0 0.0 55.5),(375.0 0.0 0.0),398.672,40.28,53.272
Truck-5,Route-5,(425.0 0.0 105.5),(625.0 0.0 200.0),684.264,6.968,372.136
Truck-6,Route-6,(675.0 0.0 105.5),(375.0 0.0 150.0),689.192,35.336,348.704
Truck-14,Route-14,(425.0 0.0 5.5),(625.0 0.0 200.0),721.072,22.472,393.424
Truck-8,Route-8,(675.0 0.0 5.5),(375.0 0.0 200.0),722.192,6.968,410.056
Truck-10,Route-10,(425.0 0.0 155.5),(625.0 0.0 150.0),730.736,30.128,395.528
Truck-100,Route-100,(675.0 0.0 -5.5),(125.0 0.0 50.0),581.712,37.112,239.568
Truck-104,Route-104,(425.0 0.0 205.5),(625.0 0.0 100.0),588.912,7.272,276.544
Truck-101,Route-101,(425.0 0.0 105.5),(625.0 0.0 200.0),594.336,7.272,281.912
Truck-0,Route-0,(175.0 0.0 105.5),(375.0 0.0 50.0),757.032,34.144,399.72
Truck-103,Route-103,(175.0 0.0 205.5),(375.0 0.0 50.0),600.888,7.272,288.528
Truck-107,Route-107,(425.0 0.0 -5.5),(625.0 0.0 50.0),631.32,57.24,269
Truck-102,Route-102,(175.0 0.0 105.5),(625.0 0.0 150.0),638.112,36.384,296.632
