Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-27,Route-27,(675.0 0.0 205.5),(625.0 0.0 150.0),344.804,7.504,32.32
Truck-56,Route-56,(675.0 0.0 155.5),(625.0 0.0 200.0),344.92,10.484,28.436
Truck-37,Route-37,(425.0 0.0 155.5),(375.0 0.0 200.0),351.344,10.52,34.836
Truck-29,Route-29,(675.0 0.0 205.5),(625.0 0.0 150.0),352.44,10.516,31.944
Truck-15,Route-15,(175.0 0.0 105.5),(125.0 0.0 200.0),349.436,9.996,34.448
Truck-0,Route-0,(675.0 0.0 55.5),(375.0 0.0 200.0),358.8,7.52,46.304
Truck-18,Route-18,(175.0 0.0 194.5),(375.0 0.0 150.0),362.548,22.972,34.592
Truck-44,Route-44,(675.0 0.0 205.5),(625.0 0.0 50.0),365.26,10.484,39.776
Truck-11,Route-11,(175.0 0.0 194.5),(625.0 0.0 0.0),374.912,17.344,52.596
Truck-32,Route-32,(675.0 0.0 105.5),(375.0 0.0 200.0),374.752,9.984,59.78
Truck-38,Route-38,(425.0 0.0 155.5),(375.0 0.0 200.0),377.74,10.484,61.272
Truck-30,Route-30,(425.0 0.0 55.5),(125.0 0.0 200.0),383.784,7.504,71.3
Truck-21,Route-21,(175.0 0.0 194.5),(125.0 0.0 0.0),387.552,28.528,53.032
Truck-6,Route-6,(425.0 0.0 5.5),(625.0 0.0 200.0),393.708,7.512,81.216
Truck-55,Route-55,(675.0 0.0 205.5),(375.0 0.0 50.0),381.44,10.728,60.732
Truck-33,Route-33,(425.0 0.0 194.5),(625.0 0.0 150.0),394.848,22.976,27.872
Truck-46,Route-46,(425.0 0.0 194.5),(625.0 0.0 0.0),390.592,28.528,40.092
Truck-24,Route-24,(425.0 0.0 155.5),(625.0 0.0 200.0),399.34,7.504,86.868
Truck-53,Route-53,(675.0 0.0 205.5),(625.0 0.0 0.0),395.052,10.756,42.276
Truck-19,Route-19,(675.0 0.0 155.5),(125.0 0.0 200.0),407.624,7.508,95.144
Truck-7,Route-7,(425.0 0.0 5.5),(625.0 0.0 200.0),410.788,10.524,90.276
Truck-54,Route-54,(675.0 0.0 205.5),(625.0 0.0 0.0),403.404,10.76,42.664
Truck-4,Route-4,(425.0 0.0 194.5),(625.0 0.0 50.0),415.236,17.352,36.908
Truck-20,Route-20,(175.0 0.0 194.5),(625.0 0.0 150.0),413.832,25.548,83.296
Truck-42,Route-42,(175.0 0.0 205.5),(625.0 0.0 0.0),419.28,7.5,106.808
Truck-35,Route-35,(675.0 0.0 155.5),(125.0 0.0 200.0),422.844,10.52,106.344
