Truck_id,Route_id,Origin,Destination,Total Time,PickupSta AT,DropSta AT
Truck-15,Route-15,(425.0 0.0 155.5),(375.0 0.0 200.0),345.668,10.416,30.264
Truck-8,Route-8,(675.0 0.0 55.5),(625.0 0.0 200.0),350.788,7.652,38.148
Truck-24,Route-24,(675.0 0.0 205.5),(625.0 0.0 150.0),351.336,10.62,33.688
Truck-16,Route-16,(425.0 0.0 105.5),(375.0 0.0 200.0),358.748,10.62,43.148
Truck-17,Route-17,(675.0 0.0 5.5),(625.0 0.0 200.0),361.184,10.416,45.784
Truck-12,Route-12,(175.0 0.0 155.5),(375.0 0.0 200.0),364.068,7.648,51.428
Truck-22,Route-22,(425.0 0.0 205.5),(375.0 0.0 0.0),364.088,10.62,43.488
Truck-0,Route-0,(675.0 0.0 205.5),(125.0 0.0 150.0),366.448,7.656,53.804
Truck-2,Route-2,(425.0 0.0 205.5),(625.0 0.0 100.0),368.392,7.652,55.74
Truck-13,Route-13,(425.0 0.0 55.5),(375.0 0.0 200.0),368.524,7.648,55.876
Truck-6,Route-6,(175.0 0.0 205.5),(375.0 0.0 50.0),369.704,7.652,57.06
Truck-7,Route-7,(425.0 0.0 105.5),(625.0 0.0 200.0),373.608,7.652,60.96
Truck-9,Route-9,(175.0 0.0 5.5),(375.0 0.0 200.0),378.784,7.652,66.144
Truck-18,Route-18,(175.0 0.0 205.5),(125.0 0.0 50.0),380.608,10.62,60.008
Truck-3,Route-3,(675.0 0.0 155.5),(375.0 0.0 0.0),385.888,35.936,44.964
Truck-10,Route-10,(675.0 0.0 105.5),(125.0 0.0 200.0),389.948,7.652,77.304
Truck-19,Route-19,(175.0 0.0 155.5),(125.0 0.0 0.0),397.144,37.652,50.508
Truck-1,Route-1,(175.0 0.0 105.5),(625.0 0.0 200.0),410.872,7.652,98.216
Truck-11,Route-11,(675.0 0.0 5.5),(625.0 0.0 0.0),414.508,54.036,52.48
Truck-4,Route-4,(425.0 0.0 155.5),(625.0 0.0 150.0),416.628,32.236,79.404
Truck-5,Route-5,(175.0 0.0 55.5),(375.0 0.0 200.0),417.168,7.652,104.524
Truck-21,Route-21,(175.0 0.0 5.5),(375.0 0.0 150.0),431.164,51.452,64.72
Truck-20,Route-20,(175.0 0.0 55.5),(375.0 0.0 150.0),435.028,47.876,65.168
Truck-14,Route-14,(425.0 0.0 5.5),(625.0 0.0 200.0),439.964,44.812,90.16
Truck-23,Route-23,(425.0 0.0 55.5),(625.0 0.0 50.0),450.004,51.152,91.864
Truck-100,Route-100,(175.0 0.0 155.5),(625.0 0.0 50.0),432.192,88.268,38.948
