Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,TravelTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-0,Route-0,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,341.568,0.007359396,2.771199,6.984,29.592,,,419.456,429.024,429.024,0.1999657,0.213543,0.2067543
Truck-15,Route-15,(425.0 0.0 155.5),(125.0 0.0 200.0),341.2643,346.984,0.1386112,3.132267,9.504,32.456
Truck-12,Route-12,(675.0 0.0 205.5),(625.0 0.0 150.0),341.2643,349.08,0.1894052,3.271999,6.968,37.048
Truck-10,Route-10,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,352.856,0.09132146,2.781894,6.968,40.92
Truck-5,Route-5,(425.0 0.0 -5.5),(625.0 0.0 200.0),362.7704,362.656,-0.00182268,2.320593,16.368,41.28
Truck-3,Route-3,(425.0 0.0 205.5),(375.0 0.0 0.0),352.0174,362.832,0.2079044,2.992,6.976,50.824
Truck-9,Route-9,(175.0 0.0 105.5),(375.0 0.0 200.0),362.7704,364.904,0.03399014,2.403852,6.968,52.944
Truck-6,Route-6,(175.0 0.0 155.5),(125.0 0.0 150.0),362.7704,366.624,0.06139161,2.467555,30.408,31.24
Truck-4,Route-4,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,370.224,0.05831129,2.421517,6.976,58.28
Truck-11,Route-11,(175.0 0.0 194.5),(125.0 0.0 0.0),362.7704,376.584,0.2200654,2.836445,16.368,46.208
Truck-18,Route-18,(175.0 0.0 205.5),(375.0 0.0 50.0),366.3548,381.8,0.2327673,2.820689,6.968,69.856
Truck-14,Route-14,(675.0 0.0 155.5),(375.0 0.0 100.0),366.3548,382.488,0.2431361,2.844414,29.76,47.688
Truck-8,Route-8,(675.0 0.0 5.5),(125.0 0.0 200.0),369.9391,382.824,0.1842301,2.671742,6.976,70.872
Truck-16,Route-16,(425.0 0.0 205.5),(625.0 0.0 100.0),362.7704,383.176,0.3250827,3.080592,9.496,62.664
Truck-17,Route-17,(175.0 0.0 55.5),(625.0 0.0 200.0),384.2766,400.2,0.188943,2.569231,9.488,79.736
Truck-13,Route-13,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,404.448,0.4934132,3.36929,6.968,92.464
Truck-1,Route-1,(425.0 0.0 55.5),(375.0 0.0 200.0),373.5235,410.136,0.4979705,3.337454,30.888,74.168
Truck-7,Route-7,(675.0 0.0 105.5),(125.0 0.0 150.0),384.2766,412.848,0.3390201,2.893538,33.544,71.168
Truck-19,Route-19,(425.0 0.0 105.5),(625.0 0.0 200.0),398.614,416.552,0.1819017,2.47983,28.008,83.576
Truck-2,Route-2,(425.0 0.0 105.5),(625.0 0.0 50.0),391.4453,419.456,0.3063116,2.778046,35.712,78.696
Truck-106,Route-106,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,341.256,-0.0002011613,2.750401,7.328,28.928
Truck-101,Route-101,(675.0 0.0 155.5),(375.0 0.0 200.0),341.2643,343.64,0.0575728,2.909334,7.336,31.32
Truck-105,Route-105,(425.0 0.0 205.5),(375.0 0.0 150.0),341.2643,344.992,0.09033694,2.999467,7.328,32.696
Truck-102,Route-102,(175.0 0.0 55.5),(125.0 0.0 200.0),348.433,347.376,-0.0218241,2.493474,7.336,35.064
Truck-114,Route-114,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,356.304,0.1625125,2.963368,7.32,44.056
Truck-112,Route-112,(425.0 0.0 105.5),(625.0 0.0 200.0),362.7704,361.888,-0.01405783,2.292148,7.328,49.544
Truck-108,Route-108,(675.0 0.0 -5.5),(625.0 0.0 200.0),362.7704,365.72,0.04699005,2.434074,34.04,26.728
Truck-100,Route-100,(425.0 0.0 5.5),(125.0 0.0 200.0),352.0174,367.36,0.2949519,3.207618,7.336,55.064
Truck-113,Route-113,(175.0 0.0 5.5),(625.0 0.0 200.0),369.9391,375.08,0.07350492,2.421935,7.32,62.824
Truck-103,Route-103,(175.0 0.0 105.5),(125.0 0.0 100.0),369.9391,382.544,0.1802266,2.66271,38.6,38.888
Truck-110,Route-110,(175.0 0.0 205.5),(625.0 0.0 50.0),384.2766,383.136,-0.01353359,2.131692,7.328,70.896
Truck-117,Route-117,(175.0 0.0 105.5),(125.0 0.0 150.0),366.3548,384.488,0.2732771,2.913379,45.752,33.728
Truck-107,Route-107,(675.0 0.0 105.5),(625.0 0.0 0.0),377.1078,388.2,0.1438526,2.52,35.4,41.792
Truck-104,Route-104,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,394.288,0.2228067,2.693943,7.336,81.96
Truck-109,Route-109,(425.0 0.0 155.5),(375.0 0.0 0.0),373.5235,396.352,0.310493,2.919757,39.888,42.52
Truck-111,Route-111,(675.0 0.0 55.5),(375.0 0.0 100.0),373.5235,409.864,0.4942714,3.329212,53.76,48.168
Truck-116,Route-116,(425.0 0.0 -5.5),(125.0 0.0 100.0),369.9391,411.928,0.6003635,3.610581,73.992,32.96
Truck-118,Route-118,(675.0 0.0 105.5),(125.0 0.0 50.0),391.4453,412.968,0.235362,2.627162,44.496,60.408
Truck-119,Route-119,(175.0 0.0 205.5),(625.0 0.0 100.0),380.6922,417.864,0.4606618,3.185514,9.896,96.992
Truck-115,Route-115,(675.0 0.0 55.5),(375.0 0.0 50.0),377.1078,429.024,0.6732925,3.6864,84.088,39.92
